Reference_residue_cont -4.32931e-05
Reference_residue_mom 0.000300734
0.0386267 -9.31029e-05 -0.017647
0.0395945 -1.66146e-05 -0.0191253
0.0399175 5.13485e-06 -0.020808
0.0399542 -2.2601e-06 -0.0223542
0.0400267 -5.75636e-06 -0.0239023
0.0400884 -5.98231e-06 -0.0254558
0.0401647 -7.23873e-06 -0.0270145
0.040235 -6.68412e-06 -0.0285908
0.0403233 -8.2608e-06 -0.030176
0.0404028 -7.66814e-06 -0.0317822
0.0405065 -9.86419e-06 -0.033398
0.0406003 -9.3331e-06 -0.0350398
0.0407287 -1.23532e-05 -0.0366929
0.0408444 -1.16597e-05 -0.03838
0.0410069 -1.57e-05 -0.0400814
0.041152 -1.48845e-05 -0.0418269
0.0413628 -2.04195e-05 -0.0435904
0.0415482 -1.93482e-05 -0.0454132
0.0418272 -2.70269e-05 -0.0472586
0.0420663 -2.56158e-05 -0.0491852
0.0424449 -3.66426e-05 -0.05114
0.0427564 -3.48027e-05 -0.0532099
0.0432894 -5.15132e-05 -0.0553138
0.0437001 -4.96731e-05 -0.0575893
0.0445007 -7.8204e-05 -0.0599041
0.045067 -8.15278e-05 -0.0624976
0.0464446 -0.000154687 -0.0651449
0.0475268 -0.000262839 -0.0683118
0.0512843 -0.0014382 -0.0717296
0.0455967 -0.00553106 -0.0762656
0.0289796 -0.00727461 -0.0758071
0.0104505 -0.00471099 -0.0703077
-0.00283916 0.00109935 -0.0626544
-0.00723412 0.00463848 -0.0560782
-0.00687962 0.00471078 -0.0524512
-0.00614827 0.00452922 -0.0505189
-0.00579474 0.00433285 -0.0490134
-0.00522147 0.00399107 -0.0480705
-0.0048464 0.00374231 -0.0473282
-0.00448347 0.00350215 -0.0467931
-0.004231 0.00332834 -0.0463592
-0.00402982 0.00318432 -0.0460047
-0.00386252 0.00304817 -0.0456906
-0.00365576 0.00286203 -0.0454077
-0.00335156 0.00257917 -0.0451564
-0.00272256 0.00202367 -0.0449279
-0.00212539 0.00132503 -0.0448803
-0.00197376 0.000880091 -0.0448885
-0.0020139 0.000582176 -0.0449029
-0.0021205 0.000334161 -0.0449291
-0.00258369 0.000151679 -0.0449864
-0.00321296 7.78511e-05 -0.0449489
-0.00364731 5.88646e-05 -0.0449189
-0.00405007 4.95399e-05 -0.0448695
-0.00441104 4.70213e-05 -0.0448134
-0.00475818 4.49619e-05 -0.0447468
-0.00509106 4.37556e-05 -0.0446711
-0.00541444 4.26385e-05 -0.0445856
-0.00572895 4.17118e-05 -0.0444906
-0.0060359 4.08461e-05 -0.044386
-0.00633574 4.00419e-05 -0.0442716
-0.00662896 3.92701e-05 -0.0441477
-0.00691583 3.85162e-05 -0.0440141
-0.00719658 3.778e-05 -0.043871
-0.0074714 3.70518e-05 -0.0437184
-0.00774055 3.63549e-05 -0.0435564
-0.00800434 3.56894e-05 -0.043385
-0.00826329 3.51046e-05 -0.0432044
-0.00851806 3.4612e-05 -0.0430148
-0.00876966 3.42905e-05 -0.0428162
-0.00901933 3.41564e-05 -0.0426087
-0.0092687 3.43162e-05 -0.0423924
-0.00951967 3.47715e-05 -0.0421671
-0.00977441 3.56425e-05 -0.0419327
-0.0100352 3.68724e-05 -0.0416886
-0.0103041 3.85632e-05 -0.0414344
-0.0105829 4.05149e-05 -0.041169
-0.010872 4.27471e-05 -0.0408912
-0.011171 4.47546e-05 -0.0405993
-0.0114744 4.63597e-05 -0.0402915
-0.0117774 4.64842e-05 -0.0399663
-0.0120557 4.45127e-05 -0.039619
-0.0123042 3.53125e-05 -0.0392554
-0.0123535 3.95103e-06 -0.0388487
-0.012416 -7.69997e-05 -0.0385095
-0.0110013 -0.000343294 -0.0379432
-0.010868 -0.00112613 -0.0382108
-0.0127524 -0.00148224 -0.037761
-0.0134232 -0.00159999 -0.0375234
-0.0144181 -0.0017428 -0.0371202
-0.0152084 -0.00183761 -0.0367019
-0.0160496 -0.00194757 -0.0362115
-0.0168566 -0.00204657 -0.0356689
