Variables = x, y, u, v, umag, p
ZONE I= 151 J= 51 F=point
0 0 0.0099 0 0.0099 -0.0132352
0.0703713 0 0 1.69407e-21 1.69407e-21 -0.0183861
0.140743 0 1.73472e-18 0 1.73472e-18 -0.0199667
0.211114 0 0 0 0 -0.0215811
0.281485 0 0 2.11758e-22 2.11758e-22 -0.0231283
0.351857 0 0 -2.11758e-22 2.11758e-22 -0.024679
0.422228 0 1.73472e-18 -2.11758e-22 1.73472e-18 -0.0262351
0.492599 0 -1.73472e-18 0 1.73472e-18 -0.0278026
0.562971 0 -1.73472e-18 0 1.73472e-18 -0.0293834
0.633342 0 0 0 0 -0.0309791
0.703713 0 0 4.23516e-22 4.23516e-22 -0.0325901
0.774085 0 -1.73472e-18 0 1.73472e-18 -0.0342189
0.844456 0 1.73472e-18 4.23516e-22 1.73472e-18 -0.0358664
0.914827 0 -1.73472e-18 -4.23516e-22 1.73472e-18 -0.0375365
0.985199 0 1.73472e-18 0 1.73472e-18 -0.0392307
1.05557 0 0 -4.23516e-22 4.23516e-22 -0.0409542
1.12594 0 0 0 0 -0.0427087
1.19631 0 0 0 0 -0.0445018
1.26668 0 0 0 0 -0.0463359
1.33706 0 0 0 0 -0.0482219
1.40743 0 0 0 0 -0.0501626
1.4778 0 0 0 0 -0.0521749
1.54817 0 0 -1.69407e-21 1.69407e-21 -0.0542618
1.61854 0 1.73472e-18 1.69407e-21 1.73472e-18 -0.0564515
1.68891 0 -1.73472e-18 -3.38813e-21 1.73473e-18 -0.0587467
1.75928 0 1.73472e-18 -3.38813e-21 1.73473e-18 -0.0612009
1.82965 0 0 0 0 -0.0638212
1.90003 0 -1.73472e-18 1.35525e-20 1.73478e-18 -0.0667284
1.9704 0 1.73472e-18 0 1.73472e-18 -0.0700207
2.04077 -0.00166634 -1.73472e-18 0 1.73472e-18 -0.0739976
2.11114 -0.0125128 -8.67362e-19 0 8.67362e-19 -0.0760363
2.18151 -0.0341173 8.67362e-19 0 8.67362e-19 -0.0730574
2.25188 -0.0680912 1.0842e-19 5.42101e-20 1.21217e-19 -0.0664811
2.32225 -0.117717 -2.1684e-19 0 2.1684e-19 -0.0593663
2.39263 -0.176764 -2.1684e-19 2.1684e-19 3.06659e-19 -0.0542647
