Variables = x, y, u, v, umag, p
ZONE I= 201 J= 51 F=point
0 0 0.0099 0 0.0099 0.0165096
0.0703713 0 0 -8.47033e-22 8.47033e-22 0.0204526
0.140743 0 -1.73472e-18 0 1.73472e-18 0.0167588
0.211114 0 0 2.11758e-22 2.11758e-22 0.0125925
0.281485 0 -1.73472e-18 0 1.73472e-18 0.00861961
0.351857 0 -1.73472e-18 0 1.73472e-18 0.00474669
0.422228 0 0 0 0 0.000884533
0.492599 0 0 0 0 -0.00297806
0.562971 0 -1.73472e-18 0 1.73472e-18 -0.00685298
0.633342 0 -1.73472e-18 4.23516e-22 1.73472e-18 -0.0107482
0.703713 0 0 0 0 -0.0146676
0.774085 0 0 -4.23516e-22 4.23516e-22 -0.0186146
0.844456 0 -1.73472e-18 4.23516e-22 1.73472e-18 -0.0225935
0.914827 0 0 0 0 -0.0266105
0.985199 0 1.73472e-18 -8.47033e-22 1.73472e-18 -0.0306725
1.05557 0 0 0 0 -0.0347877
1.12594 0 1.73472e-18 8.47033e-22 1.73472e-18 -0.0389648
1.19631 0 1.73472e-18 -8.47033e-22 1.73472e-18 -0.0432157
1.26668 0 0 0 0 -0.0475525
1.33706 0 0 1.69407e-21 1.69407e-21 -0.0519933
1.40743 0 0 1.69407e-21 1.69407e-21 -0.0565555
1.4778 0 0 -1.69407e-21 1.69407e-21 -0.0612676
1.54817 0 1.73472e-18 0 1.73472e-18 -0.0661546
1.61854 0 -1.73472e-18 0 1.73472e-18 -0.0712659
1.68891 0 0 -3.38813e-21 3.38813e-21 -0.0766389
1.75928 0 0 0 0 -0.0823725
1.82965 0 0 -6.77626e-21 6.77626e-21 -0.0885395
1.90003 0 -1.73472e-18 0 1.73472e-18 -0.0953758
1.9704 0 -1.73472e-18 0 1.73472e-18 -0.103165
2.04077 -0.00166634 0 0 0 -0.113127
2.11114 -0.0125128 0 4.33681e-19 4.33681e-19 -0.121173
2.18151 -0.0341173 0 4.33681e-19 4.33681e-19 -0.121468
2.25188 -0.0680912 4.33681e-19 0 4.33681e-19 -0.114308
2.32225 -0.117717 0 0 0 -0.101812
2.39263 -0.176764 0 -1.0842e-19 1.0842e-19 -0.0892424
