Reference_residue_cont -3.25237e-05
Reference_residue_mom 0.000318024
0.0381505 -0.000155061 0.0220128
0.0392758 -2.58761e-05 0.0188924
0.0398994 2.08012e-05 0.0146252
0.0399905 4.8036e-06 0.0105598
0.0400099 -2.43936e-06 0.0066794
0.0400516 -4.69336e-06 0.00281397
0.0400981 -6.33383e-06 -0.00104491
0.0401534 -7.64049e-06 -0.00491122
0.0402179 -8.47615e-06 -0.00879475
0.04029 -9.21351e-06 -0.0127016
0.0403711 -1.04684e-05 -0.0166336
0.0404623 -1.18718e-05 -0.0205955
0.0405679 -1.38274e-05 -0.0245914
0.0406886 -1.57114e-05 -0.0286297
0.0408301 -1.84608e-05 -0.0327153
0.0409917 -2.10273e-05 -0.0368601
0.0411836 -2.50987e-05 -0.0410695
0.0414031 -2.866e-05 -0.0453619
0.0416682 -3.48483e-05 -0.0497431
0.0419708 -3.97669e-05 -0.0542436
0.0423449 -4.95814e-05 -0.0588673
0.0427692 -5.65034e-05 -0.063668
0.0433137 -7.33767e-05 -0.0686412
0.0439244 -8.38898e-05 -0.0738907
0.0447638 -0.000117578 -0.0793871
0.045696 -0.000139887 -0.0853579
0.0471579 -0.000238388 -0.0917212
0.0489846 -0.000427525 -0.0990304
0.0533445 -0.00191869 -0.1073
0.0505372 -0.00638435 -0.118953
0.0380776 -0.00958163 -0.123394
0.0219313 -0.00915829 -0.119543
0.00600118 -0.00419863 -0.109073
-0.00308381 0.00107622 -0.094551
-0.00529078 0.00297236 -0.0839337
-0.00553733 0.00370038 -0.077625
-0.00599476 0.00419576 -0.0726263
-0.00603153 0.00436407 -0.0689451
-0.00601071 0.00444211 -0.0660582
-0.00593164 0.00445425 -0.0637701
-0.00585248 0.00445122 -0.0619127
-0.00579979 0.00445171 -0.0603587
-0.00577409 0.00444911 -0.0590064
-0.00573335 0.00440128 -0.0577741
-0.00552304 0.00418021 -0.0565977
-0.00482127 0.00349918 -0.0555364
-0.00409426 0.00247626 -0.0550668
-0.00396163 0.00173562 -0.0548932
-0.00417352 0.00120744 -0.0547416
-0.00452602 0.000747508 -0.0546391
-0.0054766 0.000378241 -0.054602
-0.00676564 0.000204174 -0.0541813
-0.00768554 0.000155691 -0.0536306
-0.00842948 0.000134927 -0.0530073
