Variables = x, y, u, v, umag, p
ZONE I= 201 J= 51 F=point
0 0 0.0099 0 0.0099 -0.0398839
0.0703713 0 -1.73472e-18 0 1.73472e-18 -0.0537613
0.140743 0 0 -8.47033e-22 8.47033e-22 -0.0549465
0.211114 0 1.73472e-18 8.47033e-22 1.73472e-18 -0.0562048
0.281485 0 0 -8.47033e-22 8.47033e-22 -0.0575435
0.351857 0 0 0 0 -0.0589335
0.422228 0 0 -8.47033e-22 8.47033e-22 -0.0603645
0.492599 0 0 4.23516e-22 4.23516e-22 -0.0618296
0.562971 0 0 0 0 -0.0633241
0.633342 0 1.73472e-18 -4.23516e-22 1.73472e-18 -0.0648455
0.703713 0 -1.73472e-18 8.47033e-22 1.73472e-18 -0.0663915
0.774085 0 0 -8.47033e-22 8.47033e-22 -0.0679622
0.844456 0 -1.73472e-18 8.47033e-22 1.73472e-18 -0.0695568
0.914827 0 1.73472e-18 0 1.73472e-18 -0.0711771
0.985199 0 0 8.47033e-22 8.47033e-22 -0.0728234
1.05557 0 0 -8.47033e-22 8.47033e-22 -0.0744996
1.12594 0 0 -8.47033e-22 8.47033e-22 -0.0762066
1.19631 0 0 0 0 -0.0779508
1.26668 0 0 0 0 -0.0797338
1.33706 0 0 1.69407e-21 1.69407e-21 -0.0815655
1.40743 0 0 1.69407e-21 1.69407e-21 -0.0834479
1.4778 0 0 1.69407e-21 1.69407e-21 -0.0853966
1.54817 0 0 0 0 -0.0874146
1.61854 0 0 3.38813e-21 3.38813e-21 -0.0895286
1.68891 0 1.73472e-18 3.38813e-21 1.73473e-18 -0.0917428
1.75928 0 1.73472e-18 0 1.73472e-18 -0.0941107
1.82965 0 1.73472e-18 0 1.73472e-18 -0.0966445
1.90003 0 0 -1.35525e-20 1.35525e-20 -0.0994871
1.9704 0 -1.73472e-18 0 1.73472e-18 -0.102737
2.04077 -0.00166634 0 -2.1684e-19 2.1684e-19 -0.107088
2.11114 -0.0125128 -1.73472e-18 0 1.73472e-18 -0.110061
2.18151 -0.0341173 -4.33681e-19 2.1684e-19 4.8487e-19 -0.108227
2.25188 -0.0680912 -1.6263e-19 4.74338e-20 1.69407e-19 -0.102872
2.32225 -0.117717 -2.1684e-19 0 2.1684e-19 -0.0963863
2.39263 -0.176764 0 0 0 -0.0911296
2.463 -0.235812 2.1684e-19 -2.1684e-19 3.06659e-19 -0.0881339
2.53337 -0.294859 0 0 0 -0.0863532
2.60374 -0.353906 2.1684e-19 2.1684e-19 3.06659e-19 -0.0850942
2.67411 -0.412954 0 1.0842e-19 1.0842e-19 -0.0842266
2.74448 -0.472001 -2.1684e-19 0 2.1684e-19 -0.0835757
2.81485 -0.531049 0 0 0 -0.0830796
2.88522 -0.590096 -2.1684e-19 0 2.1684e-19 -0.0826766
2.9556 -0.649144 -2.1684e-19 -1.0842e-19 2.42435e-19 -0.082334
3.02597 -0.708191 0 0 0 -0.0820285
3.09634 -0.767239 1.0842e-19 -1.0842e-19 1.53329e-19 -0.0817588
3.16671 -0.826286 1.0842e-19 0 1.0842e-19 -0.0815211
3.23708 -0.885317 0 -5.42101e-20 5.42101e-20 -0.0813811
3.30745 -0.934009 1.0842e-19 -5.42101e-20 1.21217e-19 -0.0813588
3.37782 -0.967283 1.0842e-19 0 1.0842e-19 -0.081371
3.4482 -0.988302 0 -1.35525e-20 1.35525e-20 -0.0813922
3.51857 -0.998618 0 6.77626e-21 6.77626e-21 -0.0814341
3.58894 -1 -1.0842e-19 -3.38813e-21 1.08473e-19 -0.0814445
3.65931 -1 1.0842e-19 0 1.0842e-19 -0.0814119
3.72968 -1 0 0 0 -0.0813724
3.80005 -1 0 -1.69407e-21 1.69407e-21 -0.0813198
3.87042 -1 0 0 0 -0.0812586
3.94079 -1 0 -1.69407e-21 1.69407e-21 -0.0811871
4.01117 -1 -2.1684e-19 0 2.1684e-19 -0.0811062
4.08154 -1 0 1.69407e-21 1.69407e-21 -0.0810154
4.15191 -1 0 1.69407e-21 1.69407e-21 -0.0809148
4.22228 -1 0 0 0 -0.0808045
4.29265 -1 -2.1684e-19 -1.69407e-21 2.16847e-19 -0.0806843
4.36302 -1 -2.1684e-19 0 2.1684e-19 -0.0805543
4.43339 -1 0 1.69407e-21 1.69407e-21 -0.0804145
4.50377 -1 2.1684e-19 0 2.1684e-19 -0.0802648
