Variables = x, y, u, v, umag, p
ZONE I= 101 J= 101 F=point
0 0 9.85938e-07 3.36354e-06 3.50507e-06 0.00780613
0.01 0 0 0 0 0.0104192
0.02 0 0 0 0 0.0104329
0.03 0 0 0 0 0.0104216
0.04 0 -8.47033e-22 0 8.47033e-22 0.0103742
0.05 0 8.47033e-22 -8.47033e-22 1.19789e-21 0.01029
0.06 0 8.47033e-22 -8.47033e-22 1.19789e-21 0.0101766
0.07 0 0 4.23516e-22 4.23516e-22 0.0100434
0.08 0 -1.69407e-21 2.11758e-22 1.70725e-21 0.00989766
0.09 0 3.38813e-21 0 3.38813e-21 0.00974458
0.1 0 0 0 0 0.00958846
0.11 0 6.77626e-21 0 6.77626e-21 0.00943367
0.12 0 1.35525e-20 0 1.35525e-20 0.00928324
0.13 0 -1.35525e-20 -8.47033e-22 1.3579e-20 0.0091391
0.14 0 0 8.47033e-22 8.47033e-22 0.0090031
0.15 0 0 0 0 0.00887682
0.16 0 2.71051e-20 0 2.71051e-20 0.00876156
0.17 0 0 8.47033e-22 8.47033e-22 0.00865836
0.18 0 0 0 0 0.00856801
0.19 0 0 0 0 0.00849124
0.2 0 0 1.69407e-21 1.69407e-21 0.00842882
0.21 0 5.42101e-20 1.69407e-21 5.42366e-20 0.00838173
0.22 0 0 -1.69407e-21 1.69407e-21 0.00835081
0.23 0 0 1.69407e-21 1.69407e-21 0.00833541
0.24 0 -5.42101e-20 1.69407e-21 5.42366e-20 0.00833292
0.25 0 0 1.69407e-21 1.69407e-21 0.00834272
0.26 0 0 0 0 0.00836777
0.27 0 -5.42101e-20 1.69407e-21 5.42366e-20 0.00840989
0.28 0 -1.0842e-19 0 1.0842e-19 0.0084685
0.29 0 0 0 0 0.00854288
0.3 0 0 0 0 0.00863275
0.31 0 1.0842e-19 0 1.0842e-19 0.0087381
0.32 0 0 1.69407e-21 1.69407e-21 0.00885894
0.33 0 0 1.69407e-21 1.69407e-21 0.00899525
0.34 0 0 1.69407e-21 1.69407e-21 0.00914694
0.35 0 -1.0842e-19 -1.69407e-21 1.08433e-19 0.00931389
0.36 0 0 -1.69407e-21 1.69407e-21 0.00949593
0.37 0 0 1.69407e-21 1.69407e-21 0.00969287
0.38 0 -1.0842e-19 0 1.0842e-19 0.00990445
0.39 0 0 -1.69407e-21 1.69407e-21 0.0101303
0.4 0 0 0 0 0.0103702
0.41 0 -1.0842e-19 0 1.0842e-19 0.0106235
0.42 0 0 0 0 0.0108897
0.43 0 1.0842e-19 0 1.0842e-19 0.0111683
0.44 0 -1.0842e-19 8.47033e-22 1.08424e-19 0.0114585
0.45 0 0 0 0 0.0117595
0.46 0 0 4.23516e-22 4.23516e-22 0.0120705
0.47 0 0 -4.23516e-22 4.23516e-22 0.0123904
0.48 0 1.0842e-19 2.11758e-22 1.0842e-19 0.0127182
0.49 0 -1.0842e-19 5.29396e-23 1.0842e-19 0.0130528
0.5 0 1.0842e-19 -1.05879e-22 1.0842e-19 0.0133928
0.51 0 -1.0842e-19 0 1.0842e-19 0.013737
0.52 0 0 0 0 0.0140842
0.53 0 1.0842e-19 -4.23516e-22 1.08421e-19 0.0144329
0.54 0 0 -8.47033e-22 8.47033e-22 0.014781
0.55 0 0 -8.47033e-22 8.47033e-22 0.0151267
0.56 0 1.0842e-19 -8.47033e-22 1.08424e-19 0.0154684
0.57 0 0 0 0 0.0158045
0.58 0 1.0842e-19 0 1.0842e-19 0.0161332
0.59 0 0 0 0 0.0164527
0.6 0 0 0 0 0.0167613
0.61 0 0 0 0 0.0170573
0.62 0 -1.0842e-19 1.69407e-21 1.08433e-19 0.0173389
0.63 0 0 0 0 0.0176044
0.64 0 0 -1.69407e-21 1.69407e-21 0.0178523
0.65 0 0 0 0 0.0180811
0.66 0 -1.0842e-19 0 1.0842e-19 0.0182894
0.67 0 0 0 0 0.0184759
0.68 0 0 3.38813e-21 3.38813e-21 0.0186397
0.69 0 -1.0842e-19 0 1.0842e-19 0.0187799
0.7 0 0 0 0 0.0188956
0.71 0 0 3.38813e-21 3.38813e-21 0.0189856
0.72 0 0 -3.38813e-21 3.38813e-21 0.0190482
0.73 0 -5.42101e-20 0 5.42101e-20 0.0190825
0.74 0 -5.42101e-20 0 5.42101e-20 0.019093
0.75 0 0 3.38813e-21 3.38813e-21 0.0190846
0.76 0 5.42101e-20 0 5.42101e-20 0.0190541
0.77 0 0 0 0 0.0189976
0.78 0 2.71051e-20 1.69407e-21 2.71579e-20 0.0189163
0.79 0 2.71051e-20 0 2.71051e-20 0.0188124
0.8 0 0 1.69407e-21 1.69407e-21 0.0186883
0.81 0 -2.71051e-20 0 2.71051e-20 0.018546
0.82 0 0 0 0 0.0183873
0.83 0 0 0 0 0.0182144
0.84 0 -1.35525e-20 0 1.35525e-20 0.0180297
0.85 0 -6.77626e-21 0 6.77626e-21 0.0178356
0.86 0 3.38813e-21 -8.47033e-22 3.49241e-21 0.0176347
0.87 0 -3.38813e-21 -4.23516e-22 3.4145e-21 0.0174297
0.88 0 4.23516e-22 0 4.23516e-22 0.0172241
0.89 0 0 -5.29396e-23 5.29396e-23 0.0170221
0.9 0 0 0 0 0.0168271
0.91 0 0 0 0 0.0166426
0.92 0 3.38813e-21 0 3.38813e-21 0.0164726
0.93 0 0 8.47033e-22 8.47033e-22 0.0163218
0.94 0 0 0 0 0.0161958
0.95 0 -1.69407e-21 0 1.69407e-21 0.016101
0.96 0 1.69407e-21 0 1.69407e-21 0.0160427
0.97 0 -3.17637e-22 0 3.17637e-22 0.0160195
0.98 0 0 -8.47033e-22 8.47033e-22 0.0160313
0.99 0 0 8.47033e-22 8.47033e-22 0.0160751
1 0 2.27833e-06 -2.75847e-06 3.5777e-06 0.0120774
0 0.01 0 0 0 0.0104202
0.01 0.01 -7.54413e-06 -4.15302e-05 4.22099e-05 0.01043
0.02 0.01 -5.75143e-06 -6.00957e-05 6.03703e-05 0.0104411
0.03 0.01 3.23575e-06 -6.24089e-05 6.24927e-05 0.0104284
