Variables = x, y, u, v, umag, p
ZONE I= 51 J= 51 F=point
0 0 -7.18196e-06 6.54934e-06 9.71979e-06 0.00656785
0.02 0 0 8.47033e-22 8.47033e-22 0.00872928
0.04 0 0 -1.05879e-22 1.05879e-22 0.0086177
0.06 0 3.38813e-21 0 3.38813e-21 0.0084072
0.08 0 0 0 0 0.00813175
0.1 0 0 0 0 0.00783151
0.12 0 -2.71051e-20 -3.38813e-21 2.7316e-20 0.00753859
0.14 0 0 6.77626e-21 6.77626e-21 0.00727164
0.16 0 5.42101e-20 -6.77626e-21 5.4632e-20 0.00704064
0.18 0 0 -6.77626e-21 6.77626e-21 0.00685366
0.2 0 0 0 0 0.00671824
0.22 0 0 0 0 0.00664078
0.24 0 0 6.77626e-21 6.77626e-21 0.0066167
0.26 0 0 0 0 0.00663936
0.28 0 0 0 0 0.00671752
0.3 0 0 0 0 0.00685867
0.32 0 0 0 0 0.00706033
0.34 0 0 0 0 0.00732024
0.36 0 0 0 0 0.00763737
0.38 0 0 0 0 0.0080106
0.4 0 0 0 0 0.00843803
0.42 0 -2.1684e-19 0 2.1684e-19 0.00891679
0.44 0 0 3.38813e-21 3.38813e-21 0.00944296
0.46 0 -2.1684e-19 3.38813e-21 2.16867e-19 0.0100114
0.48 0 2.1684e-19 0 2.1684e-19 0.0106156
0.5 0 0 1.05879e-22 1.05879e-22 0.0112462
0.52 0 0 0 0 0.0118967
0.54 0 0 0 0 0.0125592
0.56 0 2.1684e-19 0 2.1684e-19 0.0132181
0.58 0 -2.1684e-19 -3.38813e-21 2.16867e-19 0.0138588
0.6 0 2.1684e-19 0 2.1684e-19 0.0144685
0.62 0 -2.1684e-19 6.77626e-21 2.16946e-19 0.0150347
0.64 0 -2.1684e-19 -6.77626e-21 2.16946e-19 0.0155448
0.66 0 -2.1684e-19 0 2.1684e-19 0.0159868
0.68 0 0 0 0 0.01635
0.7 0 1.0842e-19 0 1.0842e-19 0.0166231
0.72 0 -1.0842e-19 0 1.0842e-19 0.016796
0.74 0 1.0842e-19 0 1.0842e-19 0.0168713
0.76 0 0 0 0 0.0168627
0.78 0 0 0 0 0.0167708
0.8 0 5.42101e-20 -6.77626e-21 5.4632e-20 0.0165899
0.82 0 0 -6.77626e-21 6.77626e-21 0.0163288
0.84 0 0 -6.77626e-21 6.77626e-21 0.0160052
0.86 0 3.38813e-21 6.77626e-21 7.57609e-21 0.0156366
0.88 0 0 -3.38813e-21 3.38813e-21 0.0152436
0.9 0 0 -1.69407e-21 1.69407e-21 0.0148544
0.92 0 -6.77626e-21 2.11758e-22 6.77957e-21 0.0145007
0.94 0 0 0 0 0.014217
0.96 0 6.77626e-21 1.69407e-21 6.98481e-21 0.014041
0.98 0 4.23516e-22 0 4.23516e-22 0.013997
1 0 -3.39194e-06 -5.95622e-06 6.85433e-06 0.0105069
0 0.02 0 0 0 0.00878235
0.02 0.02 5.30752e-05 -4.60943e-05 7.0297e-05 0.00875438
0.04 0.02 6.78414e-05 -1.78357e-06 6.78649e-05 0.0086478
0.06 0.02 -8.01778e-06 8.11928e-05 8.15877e-05 0.0084529
0.08 0.02 -0.000210882 0.000171408 0.000271757 0.00820145
0.1 0.02 -0.000547388 0.000256276 0.00060441 0.00792835
0.12 0.02 -0.0010064 0.000332005 0.00105974 0.00766106
0.14 0.02 -0.00156997 0.000397209 0.00161944 0.00741627
0.16 0.02 -0.00222051 0.000451188 0.00226589 0.00720376
0.18 0.02 -0.00294197 0.000494073 0.00298317 0.0070316
0.2 0.02 -0.00371793 0.000526668 0.00375505 0.00690723
0.22 0.02 -0.00452967 0.000549874 0.00456292 0.00683682
0.24 0.02 -0.00536108 0.000563445 0.0053906 0.00681662
0.26 0.02 -0.00620522 0.000566786 0.00623105 0.00684132
0.28 0.02 -0.00705551 0.000561244 0.00707779 0.00691916
0.3 0.02 -0.00789779 0.000548749 0.00791683 0.00705659
