Variables = x, y, u, v, umag, p
ZONE I= 51 J= 51 F=point
0 0 -9.42886e-06 6.32541e-06 1.1354e-05 0.00576085
0.02 0 0 -8.47033e-22 8.47033e-22 0.00763937
0.04 0 0 0 0 0.00750918
0.06 0 0 -1.69407e-21 1.69407e-21 0.00730116
0.08 0 0 -3.38813e-21 3.38813e-21 0.00704623
0.1 0 0 0 0 0.00677284
0.12 0 0 0 0 0.006504
0.14 0 0 6.77626e-21 6.77626e-21 0.00625704
0.16 0 0 -6.77626e-21 6.77626e-21 0.00604445
0.18 0 -5.42101e-20 -6.77626e-21 5.4632e-20 0.00587489
0.2 0 0 0 0 0.00575417
0.22 0 -1.0842e-19 0 1.0842e-19 0.00568607
0.24 0 -1.0842e-19 0 1.0842e-19 0.00567295
0.26 0 0 -1.35525e-20 1.35525e-20 0.00571622
0.28 0 -1.0842e-19 0 1.0842e-19 0.00581664
0.3 0 0 6.77626e-21 6.77626e-21 0.00597454
0.32 0 -2.1684e-19 0 2.1684e-19 0.00618982
0.34 0 -2.1684e-19 -6.77626e-21 2.16946e-19 0.00646202
0.36 0 2.1684e-19 -6.77626e-21 2.16946e-19 0.00679017
0.38 0 0 0 0 0.00717274
0.4 0 -2.1684e-19 6.77626e-21 2.16946e-19 0.00760744
0.42 0 0 0 0 0.00809112
0.44 0 0 -3.38813e-21 3.38813e-21 0.00861958
0.46 0 -2.1684e-19 0 2.1684e-19 0.00918746
0.48 0 -2.1684e-19 0 2.1684e-19 0.00978818
0.5 0 0 0 0 0.0104139
0.52 0 -2.1684e-19 0 2.1684e-19 0.0110554
0.54 0 0 0 0 0.0117026
0.56 0 2.1684e-19 0 2.1684e-19 0.0123441
0.58 0 0 0 0 0.0129681
0.6 0 0 -6.77626e-21 6.77626e-21 0.013562
0.62 0 0 0 0 0.0141136
0.64 0 0 0 0 0.0146108
0.66 0 2.1684e-19 1.35525e-20 2.17264e-19 0.0150426
0.68 0 0 1.35525e-20 1.35525e-20 0.0153993
0.7 0 0 0 0 0.015673
0.72 0 0 -1.35525e-20 1.35525e-20 0.0158583
0.74 0 -1.0842e-19 0 1.0842e-19 0.0159524
0.76 0 -1.0842e-19 1.35525e-20 1.09264e-19 0.0159556
0.78 0 0 0 0 0.0158715
0.8 0 5.42101e-20 1.35525e-20 5.58785e-20 0.0157069
0.82 0 0 0 0 0.0154725
0.84 0 -1.35525e-20 0 1.35525e-20 0.0151818
0.86 0 1.35525e-20 0 1.35525e-20 0.0148521
0.88 0 0 3.38813e-21 3.38813e-21 0.0145035
0.9 0 0 1.69407e-21 1.69407e-21 0.0141592
0.92 0 0 -4.23516e-22 4.23516e-22 0.0138448
0.94 0 6.77626e-21 0 6.77626e-21 0.0135878
0.96 0 0 1.69407e-21 1.69407e-21 0.013415
0.98 0 -1.69407e-21 0 1.69407e-21 0.0133619
1 0 -4.33283e-06 -8.78591e-06 9.7962e-06 0.0100282
0 0.02 0 0 0 0.00771238
0.02 0.02 6.63122e-05 -3.40357e-05 7.45368e-05 0.00767103
0.04 0.02 7.48401e-05 2.1459e-05 7.78559e-05 0.00754701
0.06 0.02 -1.79443e-05 0.000117157 0.000118523 0.00735405
0.08 0.02 -0.00023257 0.000224291 0.000323102 0.00711941
0.1 0.02 -0.000570678 0.00032761 0.000658029 0.00686817
0.12 0.02 -0.00102351 0.000419786 0.00110625 0.00662096
0.14 0.02 -0.00157712 0.000497889 0.00165384 0.00639363
0.16 0.02 -0.00221545 0.000561323 0.00228546 0.0061979
0.18 0.02 -0.00292215 0.000610649 0.00298527 0.00604205
0.2 0.02 -0.00368141 0.000646922 0.00373782 0.0059318
0.22 0.02 -0.00447844 0.000671314 0.00452847 0.00587098
0.24 0.02 -0.00529949 0.000684912 0.00534357 0.00586205
0.26 0.02 -0.00613185 0.000688608 0.0061704 0.00590656
0.28 0.02 -0.00696359 0.000683067 0.00699701 0.00600541
0.3 0.02 -0.00778336 0.000668724 0.00781204 0.006159
0.32 0.02 -0.00858021 0.000645809 0.00860448 0.00636734
0.34 0.02 -0.00934337 0.000614403 0.00936355 0.00663001
0.36 0.02 -0.0100622 0.000574488 0.0100786 0.00694612
0.38 0.02 -0.010726 0.000526013 0.0107389 0.00731418
0.4 0.02 -0.0113242 0.000468964 0.0113339 0.00773199
0.42 0.02 -0.0118463 0.000403427 0.0118531 0.00819648
0.44 0.02 -0.0122821 0.000329649 0.0122866 0.00870361
0.46 0.02 -0.0126222 0.000248094 0.0126246 0.00924823
0.48 0.02 -0.0128575 0.00015949 0.0128585 0.00982399
0.5 0.02 -0.0129805 6.48583e-05 0.0129807 0.0104234
0.52 0.02 -0.012985 -3.44604e-05 0.012985 0.0110377
