Variables = x, y, u, v, umag, p
ZONE I= 51 J= 51 F=point
0 0 -7.93132e-06 5.984e-06 9.9355e-06 -0.00794649
0.02 0 0 -8.47033e-22 8.47033e-22 -0.0106266
0.04 0 -3.38813e-21 2.11758e-22 3.39474e-21 -0.0107461
0.06 0 0 0 0 -0.0109599
0.08 0 0 0 0 -0.011228
0.1 0 0 0 0 -0.0115165
0.12 0 2.71051e-20 0 2.71051e-20 -0.0118011
0.14 0 -2.71051e-20 0 2.71051e-20 -0.0120641
0.16 0 5.42101e-20 -6.77626e-21 5.4632e-20 -0.0122928
0.18 0 5.42101e-20 0 5.42101e-20 -0.0124786
0.2 0 0 6.77626e-21 6.77626e-21 -0.0126158
0.22 0 0 0 0 -0.0127008
0.24 0 0 -6.77626e-21 6.77626e-21 -0.0127314
0.26 0 0 -6.77626e-21 6.77626e-21 -0.012706
0.28 0 1.0842e-19 6.77626e-21 1.08632e-19 -0.012624
0.3 0 -2.1684e-19 0 2.1684e-19 -0.012485
0.32 0 2.1684e-19 0 2.1684e-19 -0.0122888
0.34 0 0 0 0 -0.0120359
0.36 0 2.1684e-19 0 2.1684e-19 -0.0117268
0.38 0 0 6.77626e-21 6.77626e-21 -0.011363
0.4 0 -2.1684e-19 0 2.1684e-19 -0.0109464
0.42 0 0 -3.38813e-21 3.38813e-21 -0.01048
0.44 0 0 0 0 -0.00996766
0.46 0 2.1684e-19 0 2.1684e-19 -0.00941459
0.48 0 0 0 0 -0.00882725
0.5 0 0 -4.23516e-22 4.23516e-22 -0.00821343
0.52 0 2.1684e-19 0 2.1684e-19 -0.00758226
0.54 0 -2.1684e-19 -1.69407e-21 2.16847e-19 -0.00694414
0.56 0 0 -3.38813e-21 3.38813e-21 -0.00631051
0.58 0 0 -3.38813e-21 3.38813e-21 -0.00569366
0.6 0 0 6.77626e-21 6.77626e-21 -0.00510636
0.62 0 -2.1684e-19 0 2.1684e-19 -0.00456148
0.64 0 2.1684e-19 -6.77626e-21 2.16946e-19 -0.00407151
0.66 0 -2.1684e-19 0 2.1684e-19 -0.00364805
0.68 0 0 6.77626e-21 6.77626e-21 -0.00330128
0.7 0 -2.1684e-19 0 2.1684e-19 -0.00303945
0.72 0 1.0842e-19 0 1.0842e-19 -0.00286835
0.74 0 0 1.35525e-20 1.35525e-20 -0.00279095
0.76 0 0 1.35525e-20 1.35525e-20 -0.002807
0.78 0 0 6.77626e-21 6.77626e-21 -0.00291281
0.8 0 0 -6.77626e-21 6.77626e-21 -0.00310113
0.82 0 0 0 0 -0.00336112
0.84 0 1.35525e-20 0 1.35525e-20 -0.00367839
0.86 0 -1.35525e-20 -6.77626e-21 1.51522e-20 -0.00403513
0.88 0 0 0 0 -0.00441022
0.9 0 6.77626e-21 1.69407e-21 6.98481e-21 -0.00477946
0.92 0 6.77626e-21 2.11758e-22 6.77957e-21 -0.0051162
0.94 0 0 0 0 -0.00539152
0.96 0 0 0 0 -0.00556843
0.98 0 -4.23516e-22 -8.47033e-22 9.47012e-22 -0.00560653
1 0 -2.08817e-06 -7.2578e-06 7.55223e-06 -0.00418969
0 0.02 0 0 0 -0.0105712
0.02 0.02 5.90895e-05 -3.88322e-05 7.07072e-05 -0.0106022
0.04 0.02 7.45857e-05 9.8829e-06 7.52376e-05 -0.0107154
0.06 0.02 -5.42785e-06 9.68462e-05 9.69982e-05 -0.0109124
0.08 0.02 -0.000211013 0.000193525 0.000286319 -0.0111575
0.1 0.02 -0.00054418 0.000286463 0.000614974 -0.0114214
0.12 0.02 -0.000995045 0.000369428 0.00106141 -0.0116825
0.14 0.02 -0.00154894 0.000439874 0.00161019 -0.0119244
0.16 0.02 -0.00218931 0.000497266 0.00224507 -0.0121352
0.18 0.02 -0.00289935 0.000542085 0.0029496 -0.0123065
0.2 0.02 -0.00366302 0.000575249 0.00370791 -0.0124328
0.22 0.02 -0.00446532 0.000597785 0.00450515 -0.0125101
0.24 0.02 -0.00529244 0.000610648 0.00532755 -0.0125361
0.26 0.02 -0.00613161 0.000614627 0.00616234 -0.0125093
0.28 0.02 -0.00697089 0.00061031 0.00699756 -0.0124287
0.3 0.02 -0.00779897 0.000598078 0.00782187 -0.0122938
0.32 0.02 -0.00860486 0.000578131 0.00862426 -0.0121044
0.34 0.02 -0.0093778 0.00055053 0.00939395 -0.0118609
0.36 0.02 -0.010107 0.000515244 0.0101202 -0.0115639
0.38 0.02 -0.0107818 0.000472217 0.0107921 -0.0112147
0.4 0.02 -0.0113913 0.000421418 0.0113991 -0.0108152
0.42 0.02 -0.0119249 0.000362908 0.0119304 -0.0103682
0.44 0.02 -0.0123721 0.000296893 0.0123756 -0.00987767
0.46 0.02 -0.0127229 0.000223778 0.0127249 -0.00934851
0.48 0.02 -0.0129682 0.000144203 0.012969 -0.00878692
0.5 0.02 -0.0130999 5.90839e-05 0.0131 -0.00820038
0.52 0.02 -0.0131113 -3.03776e-05 0.0131114 -0.00759763
0.54 0.02 -0.0129979 -0.000122683 0.0129985 -0.00698854
0.56 0.02 -0.0127572 -0.00021605 0.012759 -0.00638403
0.58 0.02 -0.0123893 -0.000308443 0.0123931 -0.00579575
0.6 0.02 -0.0118973 -0.000397619 0.011904 -0.00523581
0.62 0.02 -0.0112875 -0.000481193 0.0112978 -0.00471638
0.64 0.02 -0.0105693 -0.000556718 0.010584 -0.00424925
0.66 0.02 -0.00975556 -0.000621781 0.00977536 -0.00384534
0.68 0.02 -0.00886204 -0.000674106 0.00888765 -0.00351418
0.7 0.02 -0.00790756 -0.000711659 0.00793952 -0.00326347
0.72 0.02 -0.00691336 -0.000732754 0.00695209 -0.00309856
0.74 0.02 -0.00590264 -0.000736151 0.00594837 -0.00302209
0.76 0.02 -0.00489988 -0.000721136 0.00495266 -0.00303362
0.78 0.02 -0.00393008 -0.000687588 0.00398978 -0.00312951
0.8 0.02 -0.00301794 -0.000636029 0.00308424 -0.00330269
0.82 0.02 -0.00218695 -0.000567653 0.00225943 -0.00354274
0.84 0.02 -0.00145844 -0.000484375 0.00153677 -0.00383595
0.86 0.02 -0.000850557 -0.000388893 0.000935246 -0.00416545
