Variables = x, y, u, v, umag, p
ZONE I= 101 J= 101 F=point
0 0 1.52459e-06 -1.83333e-06 2.38442e-06 0.0206836
0.01 0 0 0 0 0.0275865
0.02 0 0 0 0 0.0275989
0.03 0 0 -1.69407e-21 1.69407e-21 0.0276029
0.04 0 0 1.69407e-21 1.69407e-21 0.027596
0.05 0 -2.71051e-20 0 2.71051e-20 0.0275751
0.06 0 2.71051e-20 0 2.71051e-20 0.0275402
0.07 0 0 0 0 0.0274922
0.08 0 0 8.47033e-22 8.47033e-22 0.0274325
0.09 0 0 8.47033e-22 8.47033e-22 0.0273623
0.1 0 0 0 0 0.0272829
0.11 0 5.42101e-20 4.23516e-22 5.42118e-20 0.0271952
0.12 0 0 0 0 0.0271001
0.13 0 0 0 0 0.026998
0.14 0 5.42101e-20 2.11758e-22 5.42105e-20 0.0268895
0.15 0 5.42101e-20 0 5.42101e-20 0.0267748
0.16 0 0 0 0 0.0266537
0.17 0 -2.71051e-20 -8.47033e-22 2.71183e-20 0.0265261
0.18 0 0 -8.47033e-22 8.47033e-22 0.0263916
0.19 0 2.71051e-20 -8.47033e-22 2.71183e-20 0.02625
0.2 0 1.35525e-20 1.69407e-21 1.3658e-20 0.026101
0.21 0 6.77626e-21 0 6.77626e-21 0.0259442
0.22 0 0 0 0 0.0257797
0.23 0 1.35525e-20 1.69407e-21 1.3658e-20 0.0256073
0.24 0 0 -1.69407e-21 1.69407e-21 0.0254272
0.25 0 5.42101e-20 0 5.42101e-20 0.0252398
0.26 0 -5.42101e-20 0 5.42101e-20 0.0250455
0.27 0 0 -3.38813e-21 3.38813e-21 0.0248451
0.28 0 0 3.38813e-21 3.38813e-21 0.0246395
0.29 0 1.0842e-19 0 1.0842e-19 0.0244301
0.3 0 1.0842e-19 0 1.0842e-19 0.0242181
0.31 0 0 0 0 0.0240054
0.32 0 2.1684e-19 6.77626e-21 2.16946e-19 0.023794
0.33 0 2.1684e-19 6.77626e-21 2.16946e-19 0.0235863
0.34 0 0 0 0 0.0233847
0.35 0 -2.1684e-19 -6.77626e-21 2.16946e-19 0.023192
0.36 0 -2.1684e-19 0 2.1684e-19 0.0230113
0.37 0 4.33681e-19 6.77626e-21 4.33734e-19 0.0228458
0.38 0 -4.33681e-19 0 4.33681e-19 0.0226988
0.39 0 4.33681e-19 6.77626e-21 4.33734e-19 0.0225739
0.4 0 -4.33681e-19 6.77626e-21 4.33734e-19 0.0224744
0.41 0 0 -6.77626e-21 6.77626e-21 0.0224044
0.42 0 0 0 0 0.0223677
0.43 0 4.33681e-19 6.77626e-21 4.33734e-19 0.0223659
0.44 0 -4.33681e-19 -6.77626e-21 4.33734e-19 0.0224005
0.45 0 0 6.77626e-21 6.77626e-21 0.0224752
0.46 0 0 0 0 0.0225923
0.47 0 -8.67362e-19 6.77626e-21 8.67388e-19 0.0227524
0.48 0 0 0 0 0.022956
0.49 0 -8.67362e-19 0 8.67362e-19 0.0232027
0.5 0 0 0 0 0.0234915
0.51 0 0 -3.38813e-21 3.38813e-21 0.0238205
0.52 0 -8.67362e-19 0 8.67362e-19 0.0241868
0.53 0 0 1.69407e-21 1.69407e-21 0.0245869
0.54 0 -8.67362e-19 -6.35275e-22 8.67362e-19 0.0250162
0.55 0 8.67362e-19 0 8.67362e-19 0.0254688
0.56 0 8.67362e-19 0 8.67362e-19 0.0259379
0.57 0 0 0 0 0.0264161
0.58 0 -8.67362e-19 0 8.67362e-19 0.0268959
0.59 0 -8.67362e-19 6.77626e-21 8.67388e-19 0.0273687
0.6 0 0 0 0 0.0278261
0.61 0 0 0 0 0.0282596
0.62 0 0 1.35525e-20 1.35525e-20 0.0286611
0.63 0 4.33681e-19 0 4.33681e-19 0.0290228
0.64 0 0 -1.35525e-20 1.35525e-20 0.0293378
0.65 0 -4.33681e-19 1.35525e-20 4.33893e-19 0.0295999
0.66 0 0 0 0 0.0298044
0.67 0 -2.1684e-19 -1.35525e-20 2.17264e-19 0.0299476
0.68 0 2.1684e-19 0 2.1684e-19 0.030026
0.69 0 -2.1684e-19 0 2.1684e-19 0.0300417
0.7 0 0 -1.35525e-20 1.35525e-20 0.0299992
0.71 0 0 -1.35525e-20 1.35525e-20 0.0298976
0.72 0 0 0 0 0.0297399
0.73 0 -6.77626e-21 1.35525e-20 1.51522e-20 0.0295332
0.74 0 0 -6.77626e-21 6.77626e-21 0.0292838
0.75 0 0 6.77626e-21 6.77626e-21 0.0289989
0.76 0 -1.0842e-19 -6.77626e-21 1.08632e-19 0.0286864
0.77 0 0 0 0 0.0283542
0.78 0 0 0 0 0.0280101
0.79 0 -1.0842e-19 -3.38813e-21 1.08473e-19 0.0276614
0.8 0 0 0 0 0.0273157
0.81 0 0 0 0 0.0269789
0.82 0 2.1684e-19 0 2.1684e-19 0.0266559
0.83 0 -2.1684e-19 1.69407e-21 2.16847e-19 0.0263513
0.84 0 0 -1.69407e-21 1.69407e-21 0.0260689
0.85 0 2.1684e-19 0 2.1684e-19 0.0258111
0.86 0 0 3.38813e-21 3.38813e-21 0.0255788
0.87 0 0 0 0 0.0253729
0.88 0 0 0 0 0.0251932
0.89 0 1.0842e-19 3.38813e-21 1.08473e-19 0.0250394
0.9 0 1.0842e-19 0 1.0842e-19 0.024911
0.91 0 0 3.38813e-21 3.38813e-21 0.0248071
0.92 0 0 0 0 0.0247269
0.93 0 0 0 0 0.0246693
0.94 0 2.71051e-20 -3.38813e-21 2.7316e-20 0.0246338
0.95 0 -2.71051e-20 0 2.71051e-20 0.0246194
0.96 0 0 0 0 0.0246223
0.97 0 3.38813e-21 8.47033e-22 3.49241e-21 0.0246411
0.98 0 -1.15144e-21 4.23516e-22 1.22685e-21 0.0246689
0.99 0 0 0 0 0.0246874
1 0 3.38853e-06 1.56797e-05 1.60417e-05 0.0185189
0 0.01 0 0 0 0.0275696
0.01 0.01 4.6137e-05 -4.33983e-05 6.33406e-05 0.0275779
0.02 0.01 0.000173968 -0.000103597 0.000202477 0.0275889
0.03 0.01 0.000374359 -0.000145255 0.000401552 0.0275904
0.04 0.01 0.000614614 -0.000166054 0.000636651 0.027582
0.05 0.01 0.000870589 -0.000168912 0.000886824 0.0275606
0.06 0.01 0.0011187 -0.000159199 0.00112997 0.0275264
0.07 0.01 0.00134272 -0.000140681 0.00135007 0.0274801
0.08 0.01 0.00153135 -0.00011634 0.00153577 0.0274228
0.09 0.01 0.00167709 -8.8533e-05 0.00167942 0.0273553
0.1 0.01 0.0017755 -5.91583e-05 0.00177649 0.0272789
0.11 0.01 0.00182448 -2.96234e-05 0.00182472 0.0271945
0.12 0.01 0.00182333 -9.96391e-07 0.00182334 0.0271026
0.13 0.01 0.00177219 2.6414e-05 0.00177239 0.027004
0.14 0.01 0.00167177 5.28646e-05 0.0016726 0.0268988
0.15 0.01 0.00152288 7.86654e-05 0.00152491 0.0267874
0.16 0.01 0.00132601 0.000104244 0.0013301 0.0266697
0.17 0.01 0.00108112 0.000129987 0.0010889 0.0265454
0.18 0.01 0.00078745 0.000156283 0.000802809 0.0264144
0.19 0.01 0.000443554 0.000183582 0.000480044 0.0262764
0.2 0.01 4.73494e-05 0.000212308 0.000217524 0.0261311
0.21 0.01 -0.00040379 0.000242818 0.000471176 0.0259782
0.22 0.01 -0.000912891 0.000275368 0.000953519 0.0258178
0.23 0.01 -0.00148321 0.000310097 0.00151528 0.0256497
0.24 0.01 -0.00211805 0.000347053 0.0021463 0.025474
0.25 0.01 -0.00282062 0.000386187 0.00284694 0.0252912
0.26 0.01 -0.0035938 0.000427335 0.00361912 0.0251016
0.27 0.01 -0.00444001 0.000470234 0.00446484 0.0249061
0.28 0.01 -0.00536103 0.000514524 0.00538566 0.0247055
0.29 0.01 -0.00635784 0.000559758 0.00638243 0.0245009
0.3 0.01 -0.00743059 0.000605388 0.00745521 0.0242938
0.31 0.01 -0.00857869 0.000650912 0.00860335 0.0240858
0.32 0.01 -0.00980023 0.000695836 0.0098249 0.0238789
0.33 0.01 -0.0110918 0.000739422 0.0111164 0.0236753
0.34 0.01 -0.0124486 0.000780808 0.0124731 0.0234775
0.35 0.01 -0.0138647 0.000819164 0.0138889 0.0232881
0.36 0.01 -0.0153326 0.000853608 0.0153564 0.0231101
0.37 0.01 -0.0168435 0.000883224 0.0168667 0.0229466
0.38 0.01 -0.018387 0.000907144 0.0184093 0.0228009
0.39 0.01 -0.0199512 0.000924653 0.0199726 0.0226764
0.4 0.01 -0.0215234 0.000935036 0.0215437 0.0225765
0.41 0.01 -0.0230891 0.000937683 0.0231081 0.0225048
0.42 0.01 -0.024629 0.000930354 0.0246466 0.0224654
0.43 0.01 -0.0261236 0.000910265 0.0261395 0.0224601
0.44 0.01 -0.0275606 0.000878398 0.0275746 0.0224899
0.45 0.01 -0.0289259 0.000836258 0.028938 0.0225586
0.46 0.01 -0.030199 0.00078313 0.0302092 0.0226682
0.47 0.01 -0.031361 0.000718293 0.0313692 0.0228196
0.48 0.01 -0.0323945 0.000641237 0.0324009 0.0230134
0.49 0.01 -0.0332822 0.000551743 0.0332868 0.0232496
0.5 0.01 -0.0340076 0.000450604 0.0340106 0.0235271
0.51 0.01 -0.0345557 0.000339168 0.0345573 0.023844
0.52 0.01 -0.034913 0.00021881 0.0349137 0.0241975
0.53 0.01 -0.0350678 9.19639e-05 0.0350679 0.0245841
0.54 0.01 -0.0350098 -3.93086e-05 0.0350099 0.0249994
0.55 0.01 -0.0347314 -0.000174505 0.0347319 0.0254375
0.56 0.01 -0.0342285 -0.000313222 0.0342299 0.0258921
0.57 0.01 -0.0334994 -0.000454499 0.0335025 0.026356
0.58 0.01 -0.0325451 -0.000596215 0.0325506 0.0268219
0.59 0.01 -0.0313704 -0.000735452 0.031379 0.0272815
0.6 0.01 -0.029985 -0.000869241 0.0299976 0.0277263
0.61 0.01 -0.0284012 -0.000994753 0.0284186 0.0281483
0.62 0.01 -0.0266351 -0.00110935 0.0266582 0.0285394
0.63 0.01 -0.024706 -0.00121057 0.0247357 0.028892
0.64 0.01 -0.0226368 -0.00129614 0.0226739 0.0291994
0.65 0.01 -0.0204531 -0.0013641 0.0204985 0.0294556
0.66 0.01 -0.0181829 -0.00141294 0.0182377 0.029656
0.67 0.01 -0.0158558 -0.00144178 0.0159212 0.0297972
0.68 0.01 -0.0135092 -0.00144871 0.0135866 0.0298756
0.69 0.01 -0.0111806 -0.00143141 0.0112719 0.029893
0.7 0.01 -0.00889192 -0.00139096 0.00900006 0.0298537
0.71 0.01 -0.00666661 -0.00133078 0.00679814 0.0297572
0.72 0.01 -0.00454115 -0.00125324 0.00471091 0.0296065
0.73 0.01 -0.00254528 -0.00115997 0.00279714 0.0294083
0.74 0.01 -0.000701206 -0.00105309 0.00126518 0.0291688
0.75 0.01 0.000971095 -0.000935395 0.00134833 0.0288949
0.76 0.01 0.00245598 -0.000809972 0.0025861 0.0285942
0.77 0.01 0.0037425 -0.000680069 0.00380379 0.0282745
0.78 0.01 0.00482411 -0.000549022 0.00485525 0.0279432
0.79 0.01 0.00569812 -0.000419929 0.00571358 0.0276075
0.8 0.01 0.00636756 -0.000295482 0.00637441 0.0272744
0.81 0.01 0.0068406 -0.000178497 0.00684293 0.0269499
0.82 0.01 0.00712774 -7.11802e-05 0.00712809 0.0266386
0.83 0.01 0.00724194 2.57607e-05 0.00724198 0.0263449
0.84 0.01 0.00719929 0.000112761 0.00720017 0.0260723
0.85 0.01 0.00701786 0.00018932 0.00702041 0.025823
0.86 0.01 0.00671597 0.000254299 0.00672078 0.0255982
0.87 0.01 0.0063118 0.000307522 0.00631929 0.0253986
0.88 0.01 0.0058235 0.000349052 0.00583395 0.0252242
0.89 0.01 0.00526863 0.000379678 0.00528229 0.0250747
0.9 0.01 0.00466382 0.000400476 0.00468098 0.0249494
0.91 0.01 0.00402501 0.000412055 0.00404604 0.0248474
0.92 0.01 0.00336811 0.000414526 0.00339353 0.0247678
0.93 0.01 0.00270963 0.000407142 0.00274005 0.0247097
0.94 0.01 0.00206772 0.000388245 0.00210386 0.0246721
0.95 0.01 0.00146629 0.000353461 0.00150829 0.0246542
0.96 0.01 0.000929355 0.00029772 0.000975878 0.0246524
0.97 0.01 0.000487622 0.000215907 0.000533284 0.0246656
0.98 0.01 0.000170983 0.000114083 0.000205549 0.0246863
0.99 0.01 1.04822e-05 -8.54369e-06 1.3523e-05 0.0247078
1 0.01 0 0 0 0.0247194
0 0.02 0 0 0 0.0275565
0.01 0.02 0.000107495 -0.000169566 0.000200768 0.0275664
0.02 0.02 0.000338732 -0.000331943 0.000474263 0.0275774
0.03 0.02 0.000675145 -0.000441304 0.000806579 0.0275766
0.04 0.02 0.0010651 -0.00049515 0.00117457 0.0275666
0.05 0.02 0.00147215 -0.000500206 0.00155481 0.0275447
0.06 0.02 0.00186018 -0.000467831 0.00191811 0.0275116
0.07 0.02 0.00220323 -0.000407972 0.00224068 0.0274677
0.08 0.02 0.00248178 -0.000329215 0.00250352 0.0274135
0.09 0.02 0.00268202 -0.000238503 0.00269261 0.02735
0.1 0.02 0.00279502 -0.000141201 0.00279858 0.027278
0.11 0.02 0.00281553 -4.12621e-05 0.00281583 0.0271983
0.12 0.02 0.002741 5.85727e-05 0.00274163 0.0271116
0.13 0.02 0.00257061 0.000157009 0.0025754 0.0270183
0.14 0.02 0.00230425 0.00025391 0.0023182 0.0269187
0.15 0.02 0.00194193 0.000349722 0.00197317 0.0268128
0.16 0.02 0.0014833 0.000445376 0.00154872 0.0267007
0.17 0.02 0.000927271 0.000542015 0.00107406 0.0265821
0.18 0.02 0.000271863 0.000640889 0.000696167 0.026457
0.19 0.02 -0.000485889 0.000743302 0.000888024 0.0263249
0.2 0.02 -0.00134988 0.000850434 0.00159544 0.0261858
0.21 0.02 -0.00232476 0.000963232 0.00251641 0.0260394
0.22 0.02 -0.00341567 0.00108232 0.00358304 0.0258856
0.23 0.02 -0.00462788 0.00120798 0.00478294 0.0257244
0.24 0.02 -0.00596652 0.00134016 0.00611518 0.0255558
0.25 0.02 -0.00743626 0.00147842 0.0075818 0.0253802
0.26 0.02 -0.00904098 0.001622 0.00918532 0.0251979
0.27 0.02 -0.0107834 0.00176977 0.0109277 0.0250096
0.28 0.02 -0.0126649 0.00192031 0.0128096 0.0248162
0.29 0.02 -0.014685 0.00207193 0.0148305 0.0246186
0.3 0.02 -0.0168416 0.00222262 0.0169876 0.0244182
0.31 0.02 -0.0191306 0.00237034 0.0192769 0.0242165
0.32 0.02 -0.0215456 0.002513 0.0216917 0.0240152
0.33 0.02 -0.0240775 0.00264805 0.0242227 0.0238166
0.34 0.02 -0.0267144 0.00277276 0.0268579 0.0236228
0.35 0.02 -0.0294422 0.00288442 0.0295832 0.0234366
0.36 0.02 -0.0322443 0.00298003 0.0323817 0.0232607
0.37 0.02 -0.0351013 0.00305651 0.0352341 0.023098
0.38 0.02 -0.0379912 0.00311093 0.0381184 0.0229518
0.39 0.02 -0.0408903 0.0031404 0.0410107 0.0228253
0.4 0.02 -0.0437728 0.00314229 0.0438855 0.0227215
0.41 0.02 -0.0466114 0.00311453 0.0467153 0.022644
0.42 0.02 -0.0493731 0.00305352 0.0494675 0.022597
0.43 0.02 -0.0520238 0.00295452 0.0521076 0.0225831
0.44 0.02 -0.0545381 0.00281791 0.0546108 0.0226029
0.45 0.02 -0.0568901 0.00264649 0.0569516 0.0226596
0.46 0.02 -0.0590466 0.00243972 0.059097 0.022756
0.47 0.02 -0.0609765 0.00219697 0.0610161 0.0228929
0.48 0.02 -0.0626521 0.00191903 0.0626815 0.0230711
0.49 0.02 -0.0640461 0.0016073 0.0640663 0.0232908
0.5 0.02 -0.0651335 0.00126404 0.0651458 0.0235511
0.51 0.02 -0.0658924 0.000892262 0.0658984 0.02385
0.52 0.02 -0.0663037 0.000495672 0.0663055 0.0241851
0.53 0.02 -0.0663518 7.93222e-05 0.0663518 0.0245526
0.54 0.02 -0.0660253 -0.00035161 0.0660263 0.0249479
0.55 0.02 -0.0653168 -0.000792889 0.0653216 0.0253659
0.56 0.02 -0.064223 -0.00124007 0.0642349 0.0258006
0.57 0.02 -0.0627444 -0.00168806 0.0627671 0.0262455
0.58 0.02 -0.060886 -0.00213066 0.0609232 0.0266935
0.59 0.02 -0.0586596 -0.00256053 0.0587155 0.0271363
0.6 0.02 -0.056084 -0.00296985 0.0561626 0.0275656
0.61 0.02 -0.0531821 -0.00335104 0.0532875 0.0279735
0.62 0.02 -0.0499816 -0.0036969 0.0501181 0.0283522
0.63 0.02 -0.0465157 -0.00400068 0.0466874 0.0286942
0.64 0.02 -0.042822 -0.00425617 0.0430329 0.028993
0.65 0.02 -0.0389426 -0.00445792 0.0391969 0.0292427
0.66 0.02 -0.0349231 -0.00460148 0.0352249 0.0294388
0.67 0.02 -0.0308113 -0.00468364 0.0311653 0.0295781
0.68 0.02 -0.0266641 -0.00470062 0.0270752 0.0296572
0.69 0.02 -0.0225393 -0.00464938 0.0230138 0.029677
0.7 0.02 -0.0184764 -0.00453253 0.0190242 0.029642
0.71 0.02 -0.0145168 -0.00435603 0.0151563 0.0295521
0.72 0.02 -0.0107164 -0.00412486 0.0114829 0.0294103
0.73 0.02 -0.0071231 -0.00384405 0.00809415 0.029223
0.74 0.02 -0.00377535 -0.00352009 0.00516182 0.028996
0.75 0.02 -0.000707977 -0.00316086 0.00323918 0.0287362
0.76 0.02 0.00205072 -0.00277511 0.00345061 0.0284509
0.77 0.02 0.00447934 -0.00237211 0.00506867 0.0281474
0.78 0.02 0.0065633 -0.00196137 0.0068501 0.027833
0.79 0.02 0.00829457 -0.00155211 0.00843853 0.0275147
0.8 0.02 0.00967367 -0.00115281 0.00974212 0.027199
0.81 0.02 0.0107094 -0.000771438 0.0107371 0.0268917
0.82 0.02 0.0114161 -0.00041473 0.0114236 0.0265973
0.83 0.02 0.0118131 -8.72653e-05 0.0118135 0.0263198
0.84 0.02 0.0119242 0.000208322 0.0119261 0.0260618
0.85 0.02 0.0117761 0.000469628 0.0117854 0.0258255
0.86 0.02 0.0113979 0.000694678 0.0114191 0.0256123
0.87 0.02 0.0108207 0.000883142 0.0108566 0.0254229
0.88 0.02 0.0100756 0.00103565 0.0101287 0.0252573
0.89 0.02 0.00919429 0.00115343 0.00926636 0.0251151
0.9 0.02 0.00820724 0.00123775 0.00830005 0.0249954
0.91 0.02 0.00714448 0.00128968 0.00725995 0.0248973
0.92 0.02 0.0060362 0.00130912 0.00617653 0.0248199
0.93 0.02 0.00491366 0.00129387 0.00508115 0.024762
0.94 0.02 0.0038098 0.00123933 0.00400631 0.0247224
0.95 0.02 0.00276459 0.00113713 0.00298932 0.0247006
0.96 0.02 0.00181741 0.000977944 0.00206382 0.0246932
0.97 0.02 0.00101822 0.000752473 0.00126609 0.024701
0.98 0.02 0.000396471 0.000474175 0.000618087 0.0247138
0.99 0.02 3.61813e-05 0.000152153 0.000156395 0.0247474
1 0.02 0 0 0 0.0247771
0 0.03 0 0 0 0.0275519
0.01 0.03 0.000150389 -0.000369559 0.000398987 0.0275643
0.02 0.03 0.000450734 -0.000666892 0.000804926 0.0275776
0.03 0.03 0.000870469 -0.000858269 0.00122243 0.0275766
0.04 0.03 0.00134219 -0.000946533 0.00164238 0.0275664
0.05 0.03 0.00182163 -0.000944885 0.00205211 0.0275444
0.06 0.03 0.00226524 -0.000871806 0.00242721 0.0275118
0.07 0.03 0.00264124 -0.000744828 0.00274425 0.0274689
0.08 0.03 0.00292484 -0.00057956 0.0029817 0.0274166
0.09 0.03 0.00309788 -0.000388886 0.0031222 0.0273555
0.1 0.03 0.00314781 -0.00018281 0.00315311 0.0272865
0.11 0.03 0.00306637 3.12836e-05 0.00306653 0.0272102
0.12 0.03 0.0028486 0.000248451 0.00285942 0.0271274
0.13 0.03 0.00249177 0.00046586 0.00253494 0.0270382
0.14 0.03 0.00199405 0.000682467 0.0021076 0.026943
0.15 0.03 0.00135386 0.000898667 0.00162498 0.0268417
0.16 0.03 0.000569332 0.00111588 0.00125273 0.0267343
0.17 0.03 -0.000362181 0.00133619 0.0013844 0.0266207
0.18 0.03 -0.00144422 0.00156195 0.00212731 0.0265006
0.19 0.03 -0.00268133 0.00179551 0.00322698 0.0263738
0.2 0.03 -0.00407899 0.00203891 0.00456019 0.02624
0.21 0.03 -0.0056433 0.00229373 0.00609163 0.0260989
0.22 0.03 -0.00738063 0.0025609 0.00781229 0.0259504
0.23 0.03 -0.00929715 0.00284064 0.00972143 0.0257945
0.24 0.03 -0.0113984 0.00313238 0.011821 0.0256312
0.25 0.03 -0.0136889 0.00343473 0.0141132 0.0254607
0.26 0.03 -0.0161717 0.00374559 0.0165998 0.0252833
0.27 0.03 -0.0188476 0.00406214 0.0192804 0.0250996
0.28 0.03 -0.0217155 0.00438096 0.022153 0.0249103
0.29 0.03 -0.0247713 0.00469807 0.0252129 0.0247163
0.3 0.03 -0.028008 0.00500894 0.0284523 0.0245188
0.31 0.03 -0.0314155 0.00530885 0.0318609 0.0243193
0.32 0.03 -0.0349807 0.00559287 0.035425 0.0241195
0.33 0.03 -0.0386865 0.00585541 0.0391271 0.0239212
0.34 0.03 -0.042512 0.00609049 0.042946 0.0237268
0.35 0.03 -0.0464335 0.00629189 0.0468578 0.0235386
0.36 0.03 -0.0504242 0.00645344 0.0508355 0.0233592
0.37 0.03 -0.0544537 0.00656933 0.0548486 0.0231918
0.38 0.03 -0.0584889 0.00663397 0.0588639 0.0230394
0.39 0.03 -0.062494 0.00664153 0.062846 0.0229055
0.4 0.03 -0.0664316 0.00658717 0.0667574 0.0227933
0.41 0.03 -0.0702632 0.00646748 0.0705602 0.0227061
0.42 0.03 -0.0739471 0.00627887 0.0742132 0.0226481
0.43 0.03 -0.0774393 0.00601578 0.0776727 0.0226228
0.44 0.03 -0.080704 0.00567731 0.0809035 0.0226309
0.45 0.03 -0.0837079 0.00526928 0.0838735 0.0226751
0.46 0.03 -0.0864117 0.00479357 0.0865446 0.0227585
0.47 0.03 -0.0887785 0.00424981 0.0888801 0.0228824
0.48 0.03 -0.0907761 0.00364075 0.0908491 0.0230474
0.49 0.03 -0.0923751 0.00297049 0.0924229 0.0232536
0.5 0.03 -0.0935489 0.00224399 0.0935758 0.0235004
0.51 0.03 -0.0942748 0.00146721 0.0942862 0.0237862
0.52 0.03 -0.094534 0.00064742 0.0945362 0.0241087
0.53 0.03 -0.0943124 -0.000207161 0.0943126 0.0244642
0.54 0.03 -0.0936011 -0.00108732 0.0936074 0.0248482
0.55 0.03 -0.0923961 -0.00198285 0.0924174 0.0252557
0.56 0.03 -0.0906982 -0.00288281 0.090744 0.0256808
0.57 0.03 -0.0885126 -0.00377567 0.0885931 0.026117
0.58 0.03 -0.0858497 -0.00464983 0.0859755 0.0265575
0.59 0.03 -0.0827274 -0.00549284 0.0829096 0.0269939
0.6 0.03 -0.079171 -0.00629109 0.0794206 0.0274181
0.61 0.03 -0.0752106 -0.00703117 0.0755386 0.027822
0.62 0.03 -0.0708815 -0.00770036 0.0712985 0.0281976
0.63 0.03 -0.0662247 -0.00828661 0.0667411 0.0285377
0.64 0.03 -0.0612862 -0.00877887 0.0619118 0.0288355
0.65 0.03 -0.056117 -0.00916736 0.0568608 0.0290851
0.66 0.03 -0.0507719 -0.00944391 0.0516427 0.029282
0.67 0.03 -0.0453081 -0.00960235 0.0463145 0.029423
0.68 0.03 -0.0397921 -0.00963707 0.0409424 0.0295044
0.69 0.03 -0.0342923 -0.00954447 0.0355958 0.0295268
0.7 0.03 -0.0288596 -0.00932812 0.0303297 0.029495
0.71 0.03 -0.023546 -0.00899629 0.0252061 0.0294091
0.72 0.03 -0.0184186 -0.00855667 0.0203091 0.029272
0.73 0.03 -0.0135369 -0.00801823 0.0157334 0.02909
0.74 0.03 -0.00895086 -0.00739293 0.0116092 0.0288689
