Reference_residue_cont 1e-30
Reference_residue_mom 0.00019802
-6.09835e-06 7.33331e-06 0.0275782
2.85573e-05 -1.62016e-05 0.0275948
0.000129632 -3.42557e-05 0.027603
0.000266173 -4.51635e-05 0.0276028
0.000424008 -4.81118e-05 0.0275892
0.000584442 -4.68452e-05 0.027561
0.000734794 -4.28354e-05 0.0275193
0.000867369 -3.71756e-05 0.0274651
0.000977179 -3.04724e-05 0.0273999
0.00106149 -2.34161e-05 0.0273248
0.00111908 -1.64699e-05 0.027241
0.00114995 -1.00259e-05 0.0271495
0.00115428 -4.43105e-06 0.0270507
0.00113268 6.26954e-07 0.0269454
0.00108626 5.29616e-06 0.0268337
0.0010158 9.7664e-06 0.0267158
0.000921831 1.42008e-05 0.0265915
0.000804398 1.86508e-05 0.0264606
0.000662975 2.3242e-05 0.0263226
0.000496646 2.81108e-05 0.0261774
0.000304094 3.33802e-05 0.0260245
8.36685e-05 3.91532e-05 0.0258639
-0.000166522 4.5505e-05 0.0256954
-0.000448501 5.24879e-05 0.0255191
-0.000764341 6.01303e-05 0.0253353
-0.00111606 6.84305e-05 0.0251442
-0.00150553 7.73672e-05 0.0249467
-0.00193437 8.68926e-05 0.0247434
-0.00240388 9.69372e-05 0.0245356
-0.00291488 0.000107399 0.0243246
-0.003468 0.00011815 0.0241117
-0.00406355 0.000129195 0.0238991
-0.00470067 0.000140453 0.023689
-0.00537792 0.000151676 0.0234836
-0.00609329 0.000162653 0.0232857
-0.00684399 0.000173243 0.0230983
-0.00762646 0.000183228 0.0229243
-0.00843627 0.000192388 0.0227672
-0.0092681 0.000200481 0.0226304
-0.0101159 0.000207387 0.0225173
-0.0109737 0.000213047 0.0224315
-0.0118326 0.000217677 0.0223773
-0.0126782 0.000218784 0.0223582
-0.0135027 0.00021581 0.0223737
-0.0143038 0.000210906 0.0224273
-0.0150691 0.000204214 0.0225231
-0.0157855 0.00019499 0.0226615
-0.0164433 0.00018263 0.0228433
-0.0170316 0.00016633 0.0230687
-0.0175404 0.000145869 0.0233367
-0.0179596 0.000122029 0.0236463
-0.0182794 9.52793e-05 0.0239948
-0.0184919 6.60879e-05 0.0243788
-0.0185889 3.61123e-05 0.0247949
-0.0185625 5.16695e-06 0.0252375
-0.0184079 -2.7246e-05 0.0257002
-0.0181225 -6.15039e-05 0.0261756
-0.0177053 -9.74203e-05 0.0266566
-0.0171556 -0.000134011 0.0271351
-0.0164771 -0.000170297 0.0276022
-0.0156756 -0.000205286 0.0280499
-0.0147585 -0.00023811 0.0284694
-0.0137359 -0.00026796 0.0288528
-0.0126203 -0.000294086 0.0291928
-0.0114261 -0.000315824 0.0294827
-0.0101697 -0.000332628 0.0297171
-0.00886819 -0.000344259 0.0298918
-0.00754033 -0.000350852 0.0300034
-0.00621649 -0.000350396 0.0300485
-0.00491575 -0.000341618 0.0300349
-0.00364058 -0.000326544 0.0299635
-0.00241427 -0.000306961 0.0298317
-0.00126172 -0.00028335 0.0296481
-0.000195185 -0.000255908 0.0294183
0.00077245 -0.000225424 0.0291492
0.00163116 -0.000192797 0.0288486
0.0023737 -0.000159009 0.0285242
0.00299624 -0.00012507 0.0281842
0.00349701 -9.20007e-05 0.0278359
0.00387656 -6.04415e-05 0.0274869
0.00414085 -3.09879e-05 0.0271445
0.00429698 -4.77664e-06 0.0268133
0.00435209 1.8049e-05 0.0264985
0.00431536 3.80346e-05 0.0262041
0.00419874 5.61877e-05 0.0259338
0.00401429 7.14818e-05 0.0256884
0.00377238 8.37489e-05 0.0254692
0.00348377 9.2909e-05 0.0252765
0.00315824 9.88045e-05 0.0251098
0.00280497 0.000102539 0.0249689
0.00243277 0.000104506 0.024853
0.00204977 0.000104807 0.0247612
0.00166412 0.000103387 0.0246925
0.00128428 9.99223e-05 0.0246461
0.000921555 9.38328e-05 0.0246215
0.000593697 8.12551e-05 0.0246172
0.000311524 6.0744e-05 0.0246274
0.000104191 2.86997e-05 0.0246548
-2.93759e-07 -7.63236e-06 0.024683
-1.35541e-05 -6.27189e-05 0.0246918
1.80992e-05 -2.56206e-05 0.027561
0.00014399 -0.000139104 0.0275777
0.000393693 -0.000224825 0.0275799
0.000707939 -0.000276777 0.027576
0.00106034 -0.000294163 0.0275599
0.00141357 -0.000286529 0.0275322
0.00174201 -0.000260588 0.0274931
0.00202672 -0.000222127 0.0274431
0.00225415 -0.000175583 0.027383
0.00241553 -0.00012466 0.0273137
0.00250591 -7.20872e-05 0.0272362
0.00252298 -1.99107e-05 0.0271512
0.00246612 3.0382e-05 0.0270592
0.00233568 7.90779e-05 0.0269606
0.00213244 0.000126457 0.0268557
0.001857 0.000173142 0.0267445
0.0015094 0.000219867 0.0266269
0.00108884 0.000267231 0.0265027
0.000593588 0.000316008 0.0263718
2.10073e-05 0.000366966 0.0262338
-0.00063235 0.000420776 0.0260886
-0.00137057 0.000477963 0.0259359
-0.00219814 0.000538849 0.0257758
-0.00311967 0.000603544 0.0256082
-0.0041397 0.000672049 0.0254334
-0.00526238 0.000744137 0.0252518
-0.00649124 0.000819406 0.0250639
-0.00782891 0.00089727 0.0248704
-0.00927697 0.000976996 0.0246724
-0.0108356 0.0010577 0.0244711
-0.0125039 0.0011383 0.0242679
-0.0142793 0.001218 0.0240645
-0.0161573 0.0012957 0.023863
-0.0181311 0.00136986 0.0236656
-0.020192 0.00143904 0.0234749
-0.0223294 0.00150172 0.0232935
-0.0245306 0.00155624 0.0231243
-0.0267807 0.00160104 0.0229705
-0.0290628 0.00163467 0.0228355
-0.031358 0.00165608 0.0227225
-0.033646 0.00166363 0.0226348
-0.0359042 0.00165638 0.0225758
-0.0381011 0.00162858 0.0225504
-0.0402125 0.00157789 0.0225579
-0.0422236 0.00150898 0.0226008
-0.0441072 0.00142093 0.022683
-0.0458343 0.00131239 0.022805
-0.0473809 0.00118316 0.0229684
-0.0487223 0.00103282 0.0231734
-0.0498346 0.000861951 0.0234197
-0.050696 0.000672568 0.0237058
-0.0512877 0.000466798 0.0240293
-0.0515929 0.000247076 0.0243872
-0.0515974 1.85796e-05 0.0247756
-0.0512904 -0.000217093 0.0251894
-0.050665 -0.000458849 0.025623
-0.0497185 -0.00070529 0.0260695
-0.0484514 -0.000953784 0.0265224
-0.0468681 -0.00119964 0.0269736
-0.0449809 -0.00143786 0.0274148
-0.0428063 -0.00166352 0.0278382
-0.0403646 -0.0018721 0.0282357
-0.0376814 -0.00205925 0.0285996
-0.0347866 -0.00222097 0.0289228
-0.0317143 -0.00235367 0.0291992
-0.0285024 -0.00245427 0.0294235
-0.0251914 -0.00252061 0.0295918
-0.0218234 -0.00255139 0.0297017
-0.0184564 -0.0025422 0.0297487
-0.015134 -0.00249141 0.0297399
-0.0118774 -0.00240427 0.0296767
-0.00873424 -0.00228533 0.029557
-0.00575436 -0.00213732 0.0293891
-0.00296986 -0.0019633 0.0291778
-0.000412231 -0.00176772 0.0289297
0.001893 -0.00155564 0.028652
0.00392607 -0.00133244 0.0283521
0.00567401 -0.00110375 0.0280375
0.00712918 -0.000875268 0.0277151
0.00828975 -0.000652004 0.0273919
0.00916309 -0.000438495 0.0270744
0.00976147 -0.000239727 0.0267673
0.0101004 -5.82665e-05 0.0264753
0.0101999 0.000105226 0.0262018
0.0100831 0.000251595 0.0259496
0.00977526 0.000378015 0.0257203
0.00930195 0.000483952 0.025515
0.00868911 0.000569477 0.0253338
0.00796288 0.000635016 0.0251769
0.00714842 0.000682354 0.0250433
0.00626912 0.000712504 0.0249322
0.00534837 0.000726406 0.024843
0.00441019 0.000723503 0.0247745
0.00347994 0.000701757 0.0247257
0.00258512 0.000657466 0.0246952
0.00176477 0.00058129 0.024683
0.00104743 0.00046759 0.0246821
0.000487344 0.000306595 0.024698
9.26908e-05 0.000128671 0.0247095
-3.69143e-05 -9.24945e-05 0.024747
3.65486e-05 -0.000126182 0.0275521
0.000231342 -0.000387358 0.0275749
0.000585902 -0.000576486 0.0275771
0.00101304 -0.000687129 0.0275734
0.00147907 -0.00072253 0.0275571
0.00193562 -0.000697601 0.0275298
0.00234953 -0.000626605 0.0274915
0.00269466 -0.000522566 0.027443
0.00295158 -0.000396583 0.0273849
0.00310683 -0.000257188 0.0273182
0.00315182 -0.000110868 0.0272437
0.00308142 3.78177e-05 0.027162
0.00289349 0.000186002 0.0270739
0.00258716 0.000332576 0.0269795
0.00216173 0.00047753 0.0268789
0.00161655 0.000621758 0.0267722
0.000950246 0.000766737 0.0266592
0.0001606 0.000914223 0.0265397
-0.000755574 0.00106609 0.0264136
-0.00180258 0.00122414 0.0262806
-0.00298561 0.00138986 0.0261404
-0.00431052 0.00156433 0.0259928
-0.00578344 0.00174814 0.0258379
-0.00741028 0.0019414 0.0256755
-0.00919645 0.00214364 0.025506
-0.0111465 0.00235386 0.0253295
-0.0132638 0.00257058 0.0251465
-0.0155497 0.00279181 0.0249578
-0.0180039 0.00301516 0.0247642
-0.0206235 0.00323786 0.0245669
-0.0234034 0.00345662 0.0243671
-0.0263359 0.00366845 0.0241664
-0.02941 0.00386986 0.0239669
-0.0326114 0.00405679 0.0237707
-0.035923 0.00422535 0.0235801
-0.0393245 0.00437156 0.0233979
-0.0427927 0.00449061 0.023227
-0.0463011 0.00457814 0.0230703
-0.0498204 0.00462989 0.022931
-0.05332 0.00464097 0.022812
-0.0567673 0.00460849 0.0227168
-0.060128 0.00452963 0.0226486
-0.0633591 0.00439949 0.0226132
-0.0664225 0.00421212 0.0226108
-0.0692937 0.00397263 0.0226421
-0.0719359 0.00368342 0.0227127
-0.074309 0.00334215 0.0228233
-0.0763818 0.00295019 0.0229748
-0.0781233 0.00250993 0.0231678
-0.0795043 0.0020245 0.0234023
