Variables = x, y, u, v, umag, p
ZONE I= 101 J= 101 F=point
0 0 -2.95936e-06 -2.88583e-08 2.9595e-06 0.0147977
0.01 0 0 0 0 0.0197274
0.02 0 3.38813e-21 0 3.38813e-21 0.0197134
0.03 0 0 -5.29396e-23 5.29396e-23 0.0196825
0.04 0 3.38813e-21 0 3.38813e-21 0.0196354
0.05 0 -3.38813e-21 0 3.38813e-21 0.0195738
0.06 0 -3.38813e-21 0 3.38813e-21 0.0195005
0.07 0 0 0 0 0.0194182
0.08 0 -1.69407e-21 0 1.69407e-21 0.0193292
0.09 0 8.47033e-22 1.69407e-21 1.89402e-21 0.0192357
0.1 0 0 0 0 0.0191395
0.11 0 -3.38813e-21 0 3.38813e-21 0.019042
0.12 0 6.77626e-21 0 6.77626e-21 0.0189445
0.13 0 0 1.69407e-21 1.69407e-21 0.0188478
0.14 0 0 0 0 0.0187526
0.15 0 1.35525e-20 0 1.35525e-20 0.0186596
0.16 0 0 3.38813e-21 3.38813e-21 0.018569
0.17 0 2.71051e-20 -3.38813e-21 2.7316e-20 0.0184813
0.18 0 0 3.38813e-21 3.38813e-21 0.0183967
0.19 0 0 3.38813e-21 3.38813e-21 0.0183155
0.2 0 0 0 0 0.0182378
0.21 0 5.42101e-20 0 5.42101e-20 0.018164
0.22 0 -5.42101e-20 -3.38813e-21 5.43159e-20 0.0180943
0.23 0 0 0 0 0.0180291
0.24 0 -5.42101e-20 0 5.42101e-20 0.0179685
0.25 0 0 0 0 0.017913
0.26 0 1.0842e-19 -3.38813e-21 1.08473e-19 0.017863
0.27 0 0 0 0 0.0178189
0.28 0 0 3.38813e-21 3.38813e-21 0.0177812
0.29 0 -1.0842e-19 -3.38813e-21 1.08473e-19 0.0177505
0.3 0 0 3.38813e-21 3.38813e-21 0.0177271
0.31 0 1.0842e-19 -3.38813e-21 1.08473e-19 0.0177117
0.32 0 0 0 0 0.0177047
0.33 0 0 0 0 0.0177067
0.34 0 -1.0842e-19 3.38813e-21 1.08473e-19 0.0177182
0.35 0 0 0 0 0.0177396
0.36 0 1.0842e-19 3.38813e-21 1.08473e-19 0.0177714
0.37 0 1.0842e-19 -3.38813e-21 1.08473e-19 0.017814
0.38 0 0 3.38813e-21 3.38813e-21 0.0178676
0.39 0 0 -3.38813e-21 3.38813e-21 0.0179325
0.4 0 2.1684e-19 3.38813e-21 2.16867e-19 0.0180087
0.41 0 0 0 0 0.0180964
0.42 0 -2.1684e-19 0 2.1684e-19 0.0181955
0.43 0 0 1.69407e-21 1.69407e-21 0.0183057
0.44 0 -2.1684e-19 0 2.1684e-19 0.0184268
0.45 0 -2.1684e-19 1.69407e-21 2.16847e-19 0.0185583
0.46 0 -2.1684e-19 1.69407e-21 2.16847e-19 0.0186995
0.47 0 0 0 0 0.0188498
0.48 0 -2.1684e-19 8.47033e-22 2.16842e-19 0.0190082
0.49 0 0 -4.23516e-22 4.23516e-22 0.0191737
0.5 0 2.1684e-19 1.05879e-22 2.1684e-19 0.0193451
0.51 0 -2.1684e-19 0 2.1684e-19 0.0195211
0.52 0 2.1684e-19 0 2.1684e-19 0.0197003
0.53 0 0 0 0 0.0198811
0.54 0 0 0 0 0.0200619
0.55 0 0 1.69407e-21 1.69407e-21 0.0202409
0.56 0 0 0 0 0.0204163
0.57 0 2.1684e-19 0 2.1684e-19 0.0205863
0.58 0 -2.1684e-19 0 2.1684e-19 0.020749
0.59 0 -2.1684e-19 -3.38813e-21 2.16867e-19 0.0209026
0.6 0 -2.1684e-19 0 2.1684e-19 0.0210452
0.61 0 0 0 0 0.0211752
0.62 0 1.0842e-19 3.38813e-21 1.08473e-19 0.0212909
0.63 0 0 -3.38813e-21 3.38813e-21 0.0213907
0.64 0 -1.0842e-19 -3.38813e-21 1.08473e-19 0.0214733
0.65 0 1.0842e-19 -3.38813e-21 1.08473e-19 0.0215375
0.66 0 0 0 0 0.0215823
0.67 0 1.0842e-19 0 1.0842e-19 0.021607
0.68 0 -1.0842e-19 0 1.0842e-19 0.021611
0.69 0 0 0 0 0.021594
0.7 0 -5.42101e-20 -3.38813e-21 5.43159e-20 0.021556
0.71 0 5.42101e-20 0 5.42101e-20 0.0214974
0.72 0 -5.42101e-20 3.38813e-21 5.43159e-20 0.0214185
0.73 0 0 0 0 0.0213203
0.74 0 0 0 0 0.0212037
0.75 0 0 -3.38813e-21 3.38813e-21 0.0210701
0.76 0 -2.71051e-20 -3.38813e-21 2.7316e-20 0.0209209
0.77 0 1.35525e-20 3.38813e-21 1.39696e-20 0.0207579
0.78 0 -3.38813e-21 3.38813e-21 4.79154e-21 0.020583
0.79 0 0 0 0 0.0203981
0.8 0 0 0 0 0.0202055
0.81 0 -1.35525e-20 -1.69407e-21 1.3658e-20 0.0200074
0.82 0 0 -1.69407e-21 1.69407e-21 0.0198062
0.83 0 2.71051e-20 0 2.71051e-20 0.0196043
0.84 0 2.71051e-20 -8.47033e-22 2.71183e-20 0.0194041
0.85 0 2.71051e-20 0 2.71051e-20 0.0192079
0.86 0 2.71051e-20 0 2.71051e-20 0.0190182
0.87 0 -2.71051e-20 -1.05879e-22 2.71053e-20 0.0188372
0.88 0 2.71051e-20 0 2.71051e-20 0.0186673
0.89 0 0 0 0 0.0185107
0.9 0 0 -8.47033e-22 8.47033e-22 0.0183693
0.91 0 2.71051e-20 -8.47033e-22 2.71183e-20 0.0182453
0.92 0 0 0 0 0.0181402
0.93 0 0 0 0 0.0180556
0.94 0 -1.35525e-20 -1.69407e-21 1.3658e-20 0.0179924
0.95 0 -6.77626e-21 0 6.77626e-21 0.017951
0.96 0 6.77626e-21 0 6.77626e-21 0.0179307
0.97 0 0 -4.23516e-22 4.23516e-22 0.0179288
0.98 0 4.23516e-22 1.05879e-22 4.36551e-22 0.0179401
0.99 0 -1.19114e-22 0 1.19114e-22 0.0179556
1 0 -1.11841e-07 2.34696e-06 2.34962e-06 0.0134722
0 0.01 0 0 0 0.0197248
0.01 0.01 3.89367e-05 -8.63608e-06 3.9883e-05 0.0197225
0.02 0.01 8.10568e-05 -1.16471e-05 8.18893e-05 0.0197096
0.03 0.01 0.000119856 -6.34657e-06 0.000120024 0.0196803
0.04 0.01 0.000146326 5.37205e-06 0.000146424 0.0196356
0.05 0.01 0.000154601 2.11041e-05 0.000156035 0.0195773
0.06 0.01 0.000141199 3.89039e-05 0.00014646 0.0195079
0.07 0.01 0.000104439 5.73996e-05 0.000119173 0.0194298
0.08 0.01 4.39152e-05 7.56896e-05 8.75069e-05 0.0193451
0.09 0.01 -3.99239e-05 9.32155e-05 0.000101405 0.0192559
0.1 0.01 -0.000146084 0.000109658 0.000182662 0.0191639
0.11 0.01 -0.000273252 0.000124862 0.000300428 0.0190704
0.12 0.01 -0.000419958 0.000138782 0.000442296 0.0189767
0.13 0.01 -0.00058469 0.000151444 0.000603985 0.0188835
0.14 0.01 -0.000765965 0.00016292 0.0007831 0.0187915
0.15 0.01 -0.000962381 0.000173308 0.000977862 0.0187015
0.16 0.01 -0.00117265 0.000182716 0.00118679 0.0186136
0.17 0.01 -0.00139558 0.000191253 0.00140862 0.0185284
0.18 0.01 -0.00163013 0.000199024 0.00164224 0.0184462
0.19 0.01 -0.00187535 0.000206121 0.00188665 0.018367
0.2 0.01 -0.00213039 0.000212619 0.00214098 0.0182914
0.21 0.01 -0.00239448 0.000218579 0.00240444 0.0182193
0.22 0.01 -0.00266691 0.00022404 0.0026763 0.0181513
0.23 0.01 -0.00294698 0.000229026 0.00295586 0.0180874
0.24 0.01 -0.00323403 0.00023354 0.00324245 0.0180282
0.25 0.01 -0.00352738 0.000237569 0.00353537 0.0179738
0.26 0.01 -0.00382632 0.000241085 0.00383391 0.0179248
