Variables = x, y, u, v, umag, p
ZONE I= 51 J= 51 F=point
0 0 -9.80648e-06 9.70218e-06 1.37949e-05 0.0117056
0.02 0 0 0 0 0.0155953
0.04 0 0 -1.69407e-21 1.69407e-21 0.0155355
0.06 0 0 0 0 0.0154162
0.08 0 8.47033e-22 0 8.47033e-22 0.0152604
0.1 0 0 0 0 0.0150875
0.12 0 0 0 0 0.0149096
0.14 0 0 0 0 0.0147343
0.16 0 -5.42101e-20 0 5.42101e-20 0.0145664
0.18 0 0 0 0 0.0144085
0.2 0 1.0842e-19 -6.77626e-21 1.08632e-19 0.0142628
0.22 0 1.0842e-19 -6.77626e-21 1.08632e-19 0.0141312
0.24 0 -1.0842e-19 0 1.0842e-19 0.0140161
0.26 0 0 0 0 0.01392
0.28 0 -2.1684e-19 0 2.1684e-19 0.0138468
0.3 0 0 -6.77626e-21 6.77626e-21 0.0138022
0.32 0 0 -6.77626e-21 6.77626e-21 0.0137886
0.34 0 2.1684e-19 -6.77626e-21 2.16946e-19 0.013807
0.36 0 2.1684e-19 0 2.1684e-19 0.0138647
0.38 0 0 -6.77626e-21 6.77626e-21 0.0139677
0.4 0 4.33681e-19 -6.77626e-21 4.33734e-19 0.0141178
0.42 0 0 0 0 0.0143168
0.44 0 0 6.77626e-21 6.77626e-21 0.0145653
0.46 0 0 3.38813e-21 3.38813e-21 0.014862
0.48 0 0 -3.38813e-21 3.38813e-21 0.0152033
0.5 0 -4.33681e-19 -1.69407e-21 4.33684e-19 0.0155826
0.52 0 4.33681e-19 0 4.33681e-19 0.0159932
0.54 0 -4.33681e-19 0 4.33681e-19 0.0164274
0.56 0 0 0 0 0.016871
0.58 0 -4.33681e-19 -6.77626e-21 4.33734e-19 0.0173075
0.6 0 4.33681e-19 0 4.33681e-19 0.0177221
0.62 0 0 0 0 0.0181
0.64 0 -2.1684e-19 0 2.1684e-19 0.0184264
0.66 0 2.1684e-19 1.35525e-20 2.17264e-19 0.018688
0.68 0 0 1.35525e-20 1.35525e-20 0.0188719
0.7 0 2.1684e-19 1.35525e-20 2.17264e-19 0.0189694
0.72 0 1.0842e-19 1.35525e-20 1.09264e-19 0.0189839
0.74 0 0 0 0 0.01892
0.76 0 -5.42101e-20 1.35525e-20 5.58785e-20 0.0187753
0.78 0 0 6.77626e-21 6.77626e-21 0.0185566
0.8 0 1.35525e-20 0 1.35525e-20 0.0182804
0.82 0 0 0 0 0.017963
0.84 0 0 -3.38813e-21 3.38813e-21 0.017622
0.86 0 0 1.69407e-21 1.69407e-21 0.0172773
0.88 0 -2.71051e-20 0 2.71051e-20 0.0169501
0.9 0 -2.71051e-20 1.69407e-21 2.71579e-20 0.0166609
0.92 0 0 0 0 0.0164302
0.94 0 0 -3.38813e-21 3.38813e-21 0.0162758
0.96 0 6.77626e-21 3.38813e-21 7.57609e-21 0.0161995
0.98 0 0 0 0 0.0162217
1 0 6.19007e-06 -5.1238e-06 8.03557e-06 0.0121979
0 0.02 0 0 0 0.015619
0.02 0.02 8.2357e-05 -8.14793e-05 0.000115851 0.0156065
0.04 0.02 0.000121941 -3.86744e-05 0.000127927 0.0155502
0.06 0.02 4.70645e-05 5.44584e-05 7.19777e-05 0.0154418
0.08 0.02 -0.000188 0.000158872 0.000246139 0.0153012
0.1 0.02 -0.000585862 0.000258507 0.000640359 0.0151445
0.12 0.02 -0.00113249 0.000347087 0.00118448 0.0149819
0.14 0.02 -0.00180932 0.000422996 0.00185811 0.0148204
0.16 0.02 -0.00259773 0.000487297 0.00264304 0.0146646
0.18 0.02 -0.00348154 0.000542007 0.00352348 0.0145174
0.2 0.02 -0.00444767 0.0005893 0.00448654 0.0143808
0.22 0.02 -0.00548529 0.000630844 0.00552145 0.014257
0.24 0.02 -0.00658494 0.00066756 0.00661869 0.0141484
0.26 0.02 -0.00773774 0.000699637 0.0077693 0.0140576
0.28 0.02 -0.00893437 0.00072673 0.00896388 0.0139879
0.3 0.02 -0.0101607 0.000747589 0.0101882 0.013945
0.32 0.02 -0.0113989 0.000758756 0.0114241 0.0139312
0.34 0.02 -0.0126355 0.000757096 0.0126582 0.0139476
0.36 0.02 -0.0138554 0.000742214 0.0138753 0.0140008
0.38 0.02 -0.0150334 0.000713059 0.0150503 0.0140963
0.4 0.02 -0.0161414 0.000667475 0.0161551 0.014236
0.42 0.02 -0.0171521 0.00060401 0.0171627 0.0144213
0.44 0.02 -0.0180369 0.000521617 0.0180445 0.014653
0.46 0.02 -0.0187669 0.000419649 0.0187716 0.0149295
0.48 0.02 -0.0193146 0.000298628 0.0193169 0.0152474
0.5 0.02 -0.0196551 0.000159842 0.0196557 0.0156017
0.52 0.02 -0.0197664 8.12305e-06 0.0197664 0.0159858
0.54 0.02 -0.0196298 -0.000150394 0.0196304 0.0163917
0.56 0.02 -0.0192325 -0.000313629 0.0192351 0.0168064
0.58 0.02 -0.0185725 -0.000478426 0.0185787 0.0172151
0.6 0.02 -0.0176584 -0.000638209 0.01767 0.0176035
0.62 0.02 -0.0165072 -0.000785969 0.0165259 0.0179574
0.64 0.02 -0.0151441 -0.000915096 0.0151717 0.0182631
0.66 0.02 -0.0136031 -0.0010196 0.0136413 0.0185083
0.68 0.02 -0.0119284 -0.00109427 0.0119785 0.0186813
0.7 0.02 -0.0101772 -0.00113375 0.0102401 0.0187737
0.72 0.02 -0.00840595 -0.00113319 0.00848198 0.0187883
0.74 0.02 -0.00665849 -0.00109199 0.00674743 0.0187294
0.76 0.02 -0.0049843 -0.00101418 0.00508643 0.0185955
0.78 0.02 -0.00344336 -0.00090477 0.00356024 0.0183933
0.8 0.02 -0.00208583 -0.000768847 0.00222302 0.0181381
0.82 0.02 -0.000948138 -0.00061277 0.00112892 0.0178452
0.84 0.02 -5.81496e-05 -0.000444574 0.000448361 0.017531
0.86 0.02 0.000567479 -0.000273516 0.000629956 0.0172139
0.88 0.02 0.0009281 -0.000108641 0.000934437 0.0169137
0.9 0.02 0.00103945 4.1184e-05 0.00104027 0.0166485
0.92 0.02 0.000935108 0.000165022 0.000949557 0.016436
0.94 0.02 0.000674895 0.000245209 0.00071806 0.0162919
0.96 0.02 0.000330483 0.000256614 0.000418413 0.0162163
0.98 0.02 6.12849e-05 0.000164275 0.000175334 0.016241
1 0.02 0 0 0 0.0162879
0 0.04 0 0 0 0.0156785
0.02 0.04 3.7418e-05 -0.00012084 0.000126501 0.0156607
0.04 0.04 -5.09268e-05 4.36098e-05 6.70474e-05 0.0156024
0.06 0.04 -0.000365935 0.000328004 0.000491421 0.0155066
0.08 0.04 -0.000954756 0.000644338 0.00115184 0.0153873
0.1 0.04 -0.00181973 0.000950319 0.00205293 0.0152544
0.12 0.04 -0.00294285 0.00122685 0.00318834 0.0151154
0.14 0.04 -0.00429699 0.00146807 0.00454085 0.014976
0.16 0.04 -0.00585275 0.00167561 0.00608788 0.0148402
0.18 0.04 -0.00758304 0.00185398 0.00780639 0.0147105
0.2 0.04 -0.0094643 0.00200813 0.009675 0.014589
0.22 0.04 -0.0114757 0.00214186 0.0116738 0.0144778
0.24 0.04 -0.0135977 0.00225701 0.0137837 0.0143791
0.26 0.04 -0.0158108 0.00235333 0.015985 0.0142956
0.28 0.04 -0.0180942 0.00242877 0.0182565 0.0142301
0.3 0.04 -0.0204209 0.0024794 0.0205708 0.0141874
0.32 0.04 -0.0227582 0.00249734 0.0228948 0.0141706
0.34 0.04 -0.0250755 0.002475 0.0251973 0.0141809
0.36 0.04 -0.0273394 0.00240925 0.0274453 0.0142234
0.38 0.04 -0.0295055 0.00229568 0.0295947 0.0143032
0.4 0.04 -0.0315241 0.00212836 0.0315958 0.0144218
0.42 0.04 -0.0333457 0.00190353 0.0334 0.0145809
0.44 0.04 -0.0349203 0.00161964 0.0349578 0.0147811
0.46 0.04 -0.0361978 0.00127696 0.0362204 0.0150219
0.48 0.04 -0.0371313 0.000878919 0.0371417 0.0153008
0.5 0.04 -0.0376778 0.000433153 0.0376803 0.0156143
0.52 0.04 -0.0378015 -4.86276e-05 0.0378015 0.0159556
0.54 0.04 -0.0374772 -0.000553233 0.0374813 0.0163152
0.56 0.04 -0.03669 -0.00106913 0.0367056 0.0166839
0.58 0.04 -0.0354385 -0.00158247 0.0354738 0.0170491
0.6 0.04 -0.0337386 -0.00207503 0.0338024 0.0173972
0.62 0.04 -0.0316224 -0.0025274 0.0317232 0.017715
