Variables = x, y, u, v, umag, p
ZONE I= 101 J= 101 F=point
0 0 -8.12923e-07 1.40294e-06 1.62144e-06 0.0185504
0.01 0 0 0 0 0.0247385
0.02 0 0 8.47033e-22 8.47033e-22 0.024741
0.03 0 0 8.47033e-22 8.47033e-22 0.0247289
0.04 0 0 0 0 0.0247005
0.05 0 -6.77626e-21 -4.23516e-22 6.78949e-21 0.0246565
0.06 0 0 4.23516e-22 4.23516e-22 0.0245993
0.07 0 -6.77626e-21 -1.05879e-22 6.77709e-21 0.0245311
0.08 0 6.77626e-21 0 6.77626e-21 0.0244543
0.09 0 0 2.11758e-22 2.11758e-22 0.0243705
0.1 0 0 0 0 0.0242812
0.11 0 -8.47033e-22 0 8.47033e-22 0.0241875
0.12 0 0 0 0 0.0240903
0.13 0 0 0 0 0.0239903
0.14 0 -6.77626e-21 0 6.77626e-21 0.0238878
0.15 0 0 0 0 0.0237833
0.16 0 0 -1.69407e-21 1.69407e-21 0.023677
0.17 0 0 1.69407e-21 1.69407e-21 0.0235691
0.18 0 0 1.69407e-21 1.69407e-21 0.0234599
0.19 0 2.71051e-20 0 2.71051e-20 0.0233497
0.2 0 0 0 0 0.0232387
0.21 0 0 -1.69407e-21 1.69407e-21 0.0231273
0.22 0 0 0 0 0.0230159
0.23 0 0 -1.69407e-21 1.69407e-21 0.022905
0.24 0 5.42101e-20 0 5.42101e-20 0.0227953
0.25 0 0 -3.38813e-21 3.38813e-21 0.0226873
0.26 0 -1.0842e-19 3.38813e-21 1.08473e-19 0.0225817
0.27 0 -1.0842e-19 3.38813e-21 1.08473e-19 0.0224795
0.28 0 0 -3.38813e-21 3.38813e-21 0.0223814
0.29 0 1.0842e-19 0 1.0842e-19 0.0222884
0.3 0 0 -3.38813e-21 3.38813e-21 0.0222015
0.31 0 1.0842e-19 3.38813e-21 1.08473e-19 0.0221217
0.32 0 1.0842e-19 0 1.0842e-19 0.0220502
0.33 0 2.1684e-19 0 2.1684e-19 0.021988
0.34 0 -2.1684e-19 0 2.1684e-19 0.0219363
0.35 0 -2.1684e-19 -3.38813e-21 2.16867e-19 0.0218962
0.36 0 0 3.38813e-21 3.38813e-21 0.0218694
0.37 0 2.1684e-19 0 2.1684e-19 0.0218569
0.38 0 -2.1684e-19 -3.38813e-21 2.16867e-19 0.0218581
0.39 0 0 -3.38813e-21 3.38813e-21 0.0218738
0.4 0 0 0 0 0.021906
0.41 0 0 -3.38813e-21 3.38813e-21 0.0219556
0.42 0 0 0 0 0.0220227
0.43 0 -2.1684e-19 -3.38813e-21 2.16867e-19 0.0221073
0.44 0 2.1684e-19 0 2.1684e-19 0.0222097
0.45 0 0 -3.38813e-21 3.38813e-21 0.0223297
0.46 0 -2.1684e-19 -1.69407e-21 2.16847e-19 0.022467
0.47 0 2.1684e-19 0 2.1684e-19 0.0226208
0.48 0 2.1684e-19 0 2.1684e-19 0.0227903
0.49 0 0 8.47033e-22 8.47033e-22 0.0229741
0.5 0 2.1684e-19 0 2.1684e-19 0.0231707
0.51 0 0 4.23516e-22 4.23516e-22 0.0233782
0.52 0 0 0 0 0.0235956
0.53 0 0 0 0 0.0238204
0.54 0 0 0 0 0.0240498
0.55 0 2.1684e-19 -1.69407e-21 2.16847e-19 0.024281
0.56 0 2.1684e-19 1.69407e-21 2.16847e-19 0.0245108
0.57 0 0 0 0 0.0247364
0.58 0 -2.1684e-19 0 2.1684e-19 0.0249548
0.59 0 0 0 0 0.0251631
0.6 0 0 0 0 0.0253581
0.61 0 2.1684e-19 0 2.1684e-19 0.0255369
0.62 0 -2.1684e-19 -3.38813e-21 2.16867e-19 0.0256968
0.63 0 0 -3.38813e-21 3.38813e-21 0.0258353
0.64 0 0 0 0 0.02595
0.65 0 2.1684e-19 6.77626e-21 2.16946e-19 0.026039
0.66 0 2.1684e-19 0 2.1684e-19 0.0260998
0.67 0 0 0 0 0.0261312
0.68 0 0 0 0 0.0261352
0.69 0 0 6.77626e-21 6.77626e-21 0.0261125
0.7 0 0 0 0 0.0260605
0.71 0 0 0 0 0.0259791
0.72 0 -5.42101e-20 3.38813e-21 5.43159e-20 0.0258706
0.73 0 -5.42101e-20 0 5.42101e-20 0.0257367
0.74 0 0 0 0 0.0255795
0.75 0 0 0 0 0.0254013
0.76 0 -2.5411e-21 0 2.5411e-21 0.0252048
0.77 0 0 -3.38813e-21 3.38813e-21 0.0249928
0.78 0 0 -3.38813e-21 3.38813e-21 0.0247684
0.79 0 -2.71051e-20 0 2.71051e-20 0.0245349
0.8 0 2.71051e-20 1.69407e-21 2.71579e-20 0.0242953
0.81 0 -5.42101e-20 1.69407e-21 5.42366e-20 0.0240527
0.82 0 0 0 0 0.0238106
0.83 0 0 4.23516e-22 4.23516e-22 0.0235719
0.84 0 5.42101e-20 -5.29396e-23 5.42101e-20 0.0233396
0.85 0 5.42101e-20 0 5.42101e-20 0.0231165
0.86 0 -5.42101e-20 0 5.42101e-20 0.0229054
0.87 0 -5.42101e-20 0 5.42101e-20 0.022709
0.88 0 -5.42101e-20 1.69407e-21 5.42366e-20 0.022529
0.89 0 0 1.69407e-21 1.69407e-21 0.0223666
0.9 0 -5.42101e-20 0 5.42101e-20 0.022224
0.91 0 -2.71051e-20 0 2.71051e-20 0.0221028
0.92 0 -2.71051e-20 0 2.71051e-20 0.0220042
0.93 0 0 0 0 0.0219295
0.94 0 0 0 0 0.0218797
0.95 0 1.35525e-20 1.69407e-21 1.3658e-20 0.0218548
0.96 0 6.77626e-21 -1.69407e-21 6.98481e-21 0.0218516
0.97 0 -1.69407e-21 -8.47033e-22 1.89402e-21 0.0218665
0.98 0 4.23516e-22 -4.23516e-22 5.98943e-22 0.0218956
0.99 0 0 0 0 0.0219263
1 0 3.60594e-06 3.06861e-06 4.73489e-06 0.0164546
0 0.01 0 0 0 0.0247304
0.01 0.01 2.60317e-05 -3.18023e-05 4.10978e-05 0.024735
0.02 0.01 7.3736e-05 -5.07306e-05 8.95019e-05 0.0247369
0.03 0.01 0.00013521 -5.43285e-05 0.000145716 0.0247244
0.04 0.01 0.00019279 -4.72284e-05 0.00019849 0.0246969
0.05 0.01 0.000234532 -3.38697e-05 0.000236965 0.0246549
0.06 0.01 0.000253114 -1.74253e-05 0.000253713 0.0246007
0.07 0.01 0.000244833 1.47423e-07 0.000244834 0.024536
0.08 0.01 0.000208096 1.79028e-05 0.000208865 0.0244629
0.09 0.01 0.000142725 3.52964e-05 0.000147025 0.0243829
0.1 0.01 4.93545e-05 5.20092e-05 7.16996e-05 0.0242974
0.11 0.01 -7.0974e-05 6.79036e-05 9.82253e-05 0.0242074
0.12 0.01 -0.000217036 8.29712e-05 0.000232355 0.0241138
0.13 0.01 -0.000387545 9.73234e-05 0.000399578 0.0240172
0.14 0.01 -0.00058131 0.000111069 0.000591826 0.023918
0.15 0.01 -0.000797349 0.000124271 0.000806975 0.0238166
0.16 0.01 -0.00103487 0.000137032 0.0010439 0.0237134
0.17 0.01 -0.00129323 0.000149472 0.00130184 0.0236084
0.18 0.01 -0.00157196 0.000161697 0.00158026 0.0235022
0.19 0.01 -0.00187071 0.00017379 0.00187877 0.0233948
0.2 0.01 -0.00218922 0.0001858 0.00219709 0.0232866
0.21 0.01 -0.00252732 0.00019776 0.00253505 0.0231779
0.22 0.01 -0.00288488 0.000209685 0.00289249 0.0230693
0.23 0.01 -0.00326165 0.000221554 0.00326917 0.0229611
0.24 0.01 -0.00365729 0.000233314 0.00366473 0.0228539
0.25 0.01 -0.00407138 0.000244891 0.00407874 0.0227484
0.26 0.01 -0.00450336 0.000256187 0.00451064 0.0226453
0.27 0.01 -0.0049525 0.000267085 0.00495969 0.0225453
0.28 0.01 -0.00541784 0.000277455 0.00542494 0.0224493
0.29 0.01 -0.00589823 0.000287149 0.00590521 0.0223582
